group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-38325.892,0.9,-210648.2214,133996.4375,False
0,2,-70554.2544,0.9,-263229.244,122120.7351,False
0,3,-82621.9063,0.9,-257581.6542,92337.8416,False
0,4,-174314.1235,0.1642,-368690.7198,20062.4728,False
0,5,369358.464,0.001,174981.8677,563735.0603,True
0,6,-132457.4435,0.9,-382427.8682,117512.9812,False
0,7,-101497.2606,0.7869,-258058.2546,55063.7335,False
0,8,-34492.0283,0.9,-303651.4633,234667.4067,False
0,9,32574.5501,0.9,-157545.2066,222694.3067,False
0,10,47735.053,0.9,-158638.4402,254108.5462,False
0,11,-176260.7997,0.581,-417920.0712,65398.4718,False
0,12,-129830.0261,0.6222,-311876.0038,52215.9517,False
0,13,-160372.2688,0.9,-429531.7038,108787.1662,False
0,14,-36470.3024,0.9,-241260.584,168319.9792,False
0,15,-174431.9791,0.3114,-385304.3304,36440.3722,False
0,16,-135179.481,0.9,-389858.3311,119499.3692,False
0,17,173921.3808,0.7549,-89235.3229,437078.0846,False
0,18,-137492.3445,0.9,-372703.1626,97718.4736,False
0,19,-122358.6189,0.9,-337957.8083,93240.5704,False
0,20,85275.0316,0.9,-215796.4767,386346.5398,False
0,21,-97566.5092,0.9,-325946.855,130813.8366,False
0,22,-64055.5924,0.9,-391341.9454,263230.7606,False
0,23,-73913.6266,0.9,-388208.575,240381.3219,False
0,24,-222058.6677,0.854,-579137.3039,135019.9686,False
0,25,-59717.1925,0.9,-284775.2871,165340.9022,False
0,26,-52796.8024,0.9,-225532.6571,119939.0524,False
0,27,-44104.6454,0.9,-358399.5939,270190.303,False
0,28,34371.9436,0.9,-167465.4322,236209.3194,False
0,29,-43487.4083,0.9,-239211.9254,152237.1088,False
1,2,-32228.3625,0.9,-203368.1251,138911.4002,False
1,3,-44296.0143,0.9,-195213.4757,106621.4471,False
1,4,-135988.2315,0.4318,-309041.4833,37065.0203,False
1,5,407684.3559,0.001,234631.1042,580737.6077,True
1,6,-94131.5515,0.9,-327905.7588,139642.6557,False
1,7,-63171.3686,0.9,-192308.9371,65966.2,False
1,8,3833.8637,0.9,-250354.9799,258022.7073,False
1,9,70900.442,0.9,-97357.3621,239158.2461,False
1,10,86060.945,0.9,-100366.4818,272488.3718,False
1,11,-137934.9077,0.8755,-362800.1346,86930.3191,False
1,12,-91504.1341,0.9,-250582.4317,67574.1635,False
1,13,-122046.3768,0.9,-376235.2204,132142.4668,False
1,14,1855.5896,0.9,-182817.7063,186528.8854,False
1,15,-136106.0871,0.6274,-327501.7906,55289.6163,False
1,16,-96853.589,0.9,-335655.7738,141948.5958,False
1,17,212247.2728,0.2413,-35576.4902,460071.0358,False
1,18,-99166.4525,0.9,-317086.841,118753.9359,False
1,19,-84032.7269,0.9,-280624.1235,112558.6697,False
1,20,123600.9236,0.9,-164164.988,411366.8351,False
1,21,-59240.6172,0.9,-269770.3042,151289.0698,False
1,22,-25729.7004,0.9,-340819.4077,289360.0069,False
1,23,-35587.7346,0.9,-337161.0779,265985.6087,False
1,24,-183732.7757,0.9,-529666.7567,162201.2053,False
1,25,-21391.3005,0.9,-228312.3307,185529.7297,False
1,26,-14470.9104,0.9,-162804.4612,133862.6403,False
1,27,-5778.7535,0.9,-307352.0968,295794.5899,False
1,28,72697.8356,0.9,-108695.3645,254091.0356,False
1,29,-5161.5163,0.9,-179727.4161,169404.3834,False
2,3,-12067.6518,0.9,-185862.7798,161727.4762,False
2,4,-103759.869,0.9,-297088.8486,89569.1105,False
2,5,439912.7184,0.001,246583.7389,633241.6979,True
2,6,-61903.1891,0.9,-311059.8594,187253.4812,False
2,7,-30943.0061,0.9,-186201.4294,124315.4171,False
2,8,36062.2261,0.9,-232341.6386,304466.0909,False
2,9,103128.8045,0.9,-85919.7475,292177.3565,False
2,10,118289.3074,0.9,-87097.7706,323676.3855,False
2,11,-105706.5453,0.9,-346523.9795,135110.8889,False
2,12,-59275.7716,0.9,-240202.749,121651.2057,False
2,13,-89818.0144,0.9,-358221.8791,178585.8504,False
2,14,34083.952,0.9,-169712.2515,237880.1555,False
2,15,-103877.7247,0.9,-313784.8033,106029.354,False
2,16,-64625.2265,0.9,-318505.4145,189254.9614,False
2,17,244475.6353,0.1136,-17908.2131,506859.4836,False
2,18,-66938.0901,0.9,-301283.9074,167407.7272,False
2,19,-51804.3645,0.9,-266459.5382,162850.8092,False
2,20,155829.286,0.9,-144566.9294,456225.5014,False
2,21,-27012.2548,0.9,-254501.6292,200477.1197,False
2,22,6498.6621,0.9,-320166.5947,333163.9189,False
2,23,-3359.3721,0.9,-317007.4994,310288.7552,False
2,24,-151504.4133,0.9,-508013.86,205005.0335,False
2,25,10837.062,0.9,-213316.8564,234990.9803,False
2,26,17757.452,0.9,-153798.6864,189313.5905,False
