group1,group2,meandiff,p-adj,lower,upper,reject
0,1,78950641.1151,0.0279,3336393.6718,154564888.5583,True
0,2,-23934994.3078,0.9,-108479895.6106,60609906.9951,False
0,3,-126922121.3541,0.001,-203693655.9085,-50150586.7997,True
0,4,17396259.9231,0.9,-67895298.6142,102687818.4604,False
0,5,1282550.098,0.9,-84009008.4393,86574108.6353,False
0,6,-13621949.3205,0.9,-123307824.6535,96063926.0125,False
0,7,7197499.47,0.9,-61500746.3109,75895745.2508,False
0,8,13333944.5577,0.9,-104771980.4646,131439869.58,False
0,9,-31724639.3613,0.9,-115148316.2078,51699037.4853,False
0,10,45943065.476,0.9,-44612676.3834,136498807.3355,False
0,11,-67763022.7783,0.8104,-173802002.2278,38275956.6711,False
0,12,-9648896.1212,0.9,-89529835.8007,70232043.5584,False
0,13,-54191287.1131,0.9,-172297212.1354,63914637.9092,False
0,14,-94936034.3626,0.0235,-184797070.2181,-5074998.5072,True
0,15,-36334038.5892,0.9,-128863858.7289,56195781.5505,False
0,16,54789620.3262,0.9,-56962290.4792,166541531.1316,False
0,17,-15200725.7623,0.9,-130672679.8506,100271228.326,False
0,18,-2066513.8867,0.9,-105275941.5694,101142913.796,False
0,19,-106237876.0182,0.0089,-200841811.0058,-11633941.0305,True
0,20,-33500594.8059,0.9,-165609391.1179,98608201.5061,False
0,21,26774463.1128,0.9,-73437784.6807,126986710.9063,False
0,22,22335764.4847,0.9,-121275985.4252,165947514.3946,False
0,23,-60260632.978,0.9,-198171814.1904,77650548.2345,False
0,24,-73223791.5425,0.9,-229908258.638,83460675.5529,False
0,25,-33043855.1533,0.9,-131798314.3856,65710604.079,False
0,26,-23660625.5281,0.9,-99456325.9729,52135074.9168,False
0,27,9171954.6069,0.9,-128739226.6055,147083135.8194,False
0,28,-21789623.9303,0.9,-110354938.2672,66775690.4065,False
0,29,-135547677.2877,0.001,-221430697.2812,-49664657.2941,True
1,2,-102885635.4228,0.001,-177980977.9815,-27790292.8642,True
1,3,-205872762.4692,0.001,-272094652.0188,-139650872.9195,True
1,4,-61554381.1919,0.3569,-137489354.0003,14380591.6165,False
1,5,-77668091.017,0.0373,-153603063.8255,-1733118.2086,True
1,6,-92572590.4356,0.1547,-195151639.8816,10006459.0104,False
1,7,-71753141.6451,0.001,-128418114.1683,-15088169.1219,True
1,8,-65616696.5573,0.9,-177153594.7707,45920201.6561,False
1,9,-110675280.4763,0.001,-184506032.8516,-36844528.1011,True
1,10,-33007575.639,0.9,-114811075.0838,48795923.8057,False
1,11,-146713663.8934,0.001,-245383493.6306,-48043834.1562,True
1,12,-88599537.2362,0.001,-158402364.2691,-18796710.2034,True
1,13,-133141928.2282,0.0029,-244678826.4416,-21605030.0148,True
1,14,-173886675.4777,0.001,-254920470.2963,-92852880.6591,True
1,15,-115284679.7042,0.001,-199268236.147,-31301123.2615,True
1,16,-24161020.7889,0.9,-128946323.7008,80624282.123,False
1,17,-94151366.8774,0.2219,-202895296.9087,14592563.1539,False
1,18,-81017155.0018,0.2624,-176639621.5056,14605311.5021,False
1,19,-185188517.1332,0.001,-271451919.8764,-98925114.39,True
1,20,-112451235.921,0.175,-238721597.4501,13819125.6081,False
1,21,-52176178.0023,0.9,-144555638.6281,40203282.6236,False
1,22,-56614876.6304,0.9,-194874794.3573,81645041.0966,False
1,23,-139211274.093,0.025,-271540273.3377,-6882274.8483,True
1,24,-152174432.6576,0.0485,-303968676.1804,-380189.1348,True
1,25,-111994496.2684,0.0015,-202790494.8364,-21198497.7004,True
1,26,-102611266.6432,0.001,-167699348.0684,-37523185.2179,True
1,27,-69778686.5081,0.9,-202107685.7528,62550312.7366,False
1,28,-100740265.0454,0.001,-180334768.8838,-21145761.2071,True
1,29,-214498318.4027,0.001,-291097034.1942,-137899602.6113,True
2,3,-102987127.0463,0.001,-179247631.7354,-26726622.3573,True
2,4,41331254.2309,0.9,-43500614.8709,126163123.3328,False
2,5,25217544.4058,0.9,-59614324.696,110049413.5076,False
2,6,10313044.9873,0.9,-99015758.6518,119641848.6263,False
2,7,31132493.7777,0.9,-36994189.9149,99259177.4704,False
2,8,37268938.8655,0.9,-80505445.3738,155043323.1049,False
2,9,-7789645.0535,0.9,-90743282.2022,75163992.0952,False
2,10,69878059.7838,0.4621,-20244847.6332,160000967.2009,False
2,11,-43828028.4706,0.9,-149497613.5945,61841556.6534,False
2,12,14286098.1866,0.9,-65103829.2707,93676025.6439,False
2,13,-30256292.8054,0.9,-148030677.0447,87518091.434,False
2,14,-71001040.0549,0.4072,-160425879.0125,18423798.9028,False
2,15,-12399044.2814,0.9,-104505307.2209,79707218.6581,False
2,16,78724614.634,0.6387,-32676846.8746,190126076.1425,False
2,17,8734268.5455,0.9,-106398560.1289,123867097.2198,False
2,18,21868480.4211,0.9,-80961388.8786,124698349.7207,False
2,19,-82302881.7104,0.2056,-176492586.9479,11886823.5272,False
2,20,-9565600.4981,0.9,-141378081.3965,122246880.4003,False
2,21,50709457.4206,0.9,-49111836.2267,150530751.0679,False
2,22,46270758.7925,0.9,-97068456.9503,189609974.5353,False
2,23,-36325638.6702,0.9,-173952997.7272,101301720.3868,False
2,24,-49288797.2348,0.9,-205723506.5757,107145912.1061,False
2,25,-9108860.8455,0.9,-107466571.6559,89248849.9649,False
2,26,274368.7797,0.9,-75003677.5786,75552415.138,False
2,27,33106948.9147,0.9,-104520410.1423,170734307.9717,False
2,28,2145370.3774,0.9,-85977333.6277,90268074.3825,False
2,29,-111612682.9799,0.001,-197039196.3162,-26186169.6436,True
3,4,144318381.2772,0.001,67230936.1461,221405826.4083,True
3,5,128204671.4521,0.001,51117226.321,205292116.5832,True
3,6,113300172.0336,0.0135,9865093.4254,216735250.6418,True
3,7,134119620.8241,0.001,75919335.4942,192319906.154,True
3,8,140256065.9119,0.0011,27931385.7899,252580746.0338,True
3,9,95197481.9928,0.001,20181922.9553,170213041.0304,True
3,10,172865186.8301,0.001,89990784.1304,255739589.5298,True
3,11,59159098.5758,0.9,-40400378.1294,158718575.2809,False
3,12,117273225.2329,0.001,46218395.9586,188328054.5073,True
3,13,72730834.241,0.7889,-39593845.881,185055514.3629,False
3,14,31986086.9915,0.9,-50128649.8353,114100823.8183,False
3,15,90588082.7649,0.0208,5561076.1482,175615089.3817,True
3,16,181711741.6803,0.001,76088288.7554,287335194.6052,True
3,17,111721395.5918,0.0388,2169597.7056,221273193.4779,True
3,18,124855607.4674,0.001,28315407.5416,221395807.3932,True
3,19,20684245.3359,0.9,-66595355.6844,107963846.3562,False
3,20,93421526.5482,0.5647,-33545234.071,220388287.1674,False
3,21,153696584.4669,0.001,60367495.5024,247025673.4314,True
3,22,149257885.8388,0.0182,10361669.363,288154102.3146,True
3,23,66661488.3761,0.9,-66332188.7011,199655165.4534,False
3,24,53698329.8116,0.9,-98675704.9453,206072364.5685,False
3,25,93878266.2008,0.0372,2116250.871,185640281.5306,True
3,26,103261495.826,0.001,36832492.7848,169690498.8672,True
3,27,136094075.9611,0.0371,3100398.8838,269087753.0383,True
