group1,group2,meandiff,p-adj,lower,upper,reject
0,1,0.1993,-1.0,0.1375,0.2611,True
0,2,0.1676,-1.0,0.1339,0.2012,True
0,3,0.1996,-1.0,0.1623,0.2369,True
0,4,0.2385,-1.0,0.1744,0.3027,True
0,5,-0.0387,5.0,-0.0821,0.0047,False
0,6,0.1663,-1.0,0.1029,0.2297,True
0,7,0.1877,-1.0,0.1516,0.2238,True
0,8,-0.0052,5.0,-0.068,0.0576,False
0,9,0.0808,-1.0,0.0507,0.1109,True
0,10,0.2499,-1.0,0.2145,0.2853,True
0,11,0.2677,-1.0,0.202,0.3334,True
0,12,0.2056,-1.0,0.1667,0.2444,True
0,13,0.1233,-1.0,0.0901,0.1566,True
0,14,0.0624,-2.0,0.0083,0.1164,True
0,15,-0.141,1.0,-0.1783,-0.1037,True
0,16,0.1326,-1.0,0.0685,0.1968,True
0,17,0.0919,-1.0,0.0444,0.1394,True
0,18,0.0551,-1.0,0.0122,0.0981,True
0,19,0.1783,-1.0,0.1317,0.2248,True
0,20,-0.0672,5.0,-0.1403,0.006,False
0,21,0.1407,-1.0,0.0797,0.2017,True
0,22,0.2545,-1.0,0.2202,0.2888,True
0,23,0.2362,-1.0,0.1812,0.2912,True
0,24,0.0646,-1.0,0.0228,0.1063,True
0,25,0.1044,-1.0,0.0393,0.1696,True
0,26,0.2233,-1.0,0.1694,0.2772,True
0,27,0.1708,-1.0,0.108,0.2335,True
0,28,0.2021,-1.0,0.1355,0.2688,True
0,29,0.1209,-1.0,0.03,0.2117,True
0,30,0.0219,-5.0,-0.0274,0.0712,False
0,31,-0.0053,5.0,-0.053,0.0423,False
0,32,0.2557,-1.0,0.2163,0.2951,True
0,33,0.1042,-5.0,-0.0615,0.2699,False
0,34,0.1111,-1.0,0.0729,0.1492,True
0,35,0.1348,-1.0,0.0741,0.1955,True
0,36,0.1638,-1.0,0.1135,0.2141,True
0,37,0.0996,-1.0,0.0336,0.1657,True
0,38,0.2545,-1.0,0.189,0.3201,True
0,39,0.1133,-1.0,0.0503,0.1764,True
0,40,0.1099,-1.0,0.0634,0.1564,True
0,41,0.131,-1.0,0.0819,0.18,True
