group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-106635318.7513,0.2426,-231226306.4386,17955668.936,False
0,2,-65779711.5436,0.9,-195339435.0293,63780011.9421,False
0,3,-174360597.0276,0.0019,-317560323.4177,-31160870.6376,True
0,4,-55474734.5293,0.9,-191874236.1621,80924767.1035,False
0,5,-67581048.2028,0.9,-202782084.9158,67619988.5102,False
0,6,-64726653.7367,0.9,-204079250.4694,74625942.996,False
0,7,-112198151.8868,0.555,-263894374.7372,39498070.9636,False
0,8,58699.2147,0.9,-135344841.8538,135462240.2833,False
0,9,-76068958.6753,0.9,-272139460.0847,120001542.7341,False
0,10,-76669587.8333,0.9,-222201710.7547,68862535.088,False
0,11,-59067467.0778,0.9,-194895713.7663,76760779.6108,False
0,12,-69125905.8034,0.9,-214181653.8854,75929842.2787,False
0,13,18810387.9278,0.9,-127737323.8879,165358099.7436,False
0,14,8570156.5576,0.9,-123977906.574,141118219.6892,False
0,15,-162013514.2922,0.0071,-304455431.201,-19571597.3834,True
0,16,-131914555.8274,0.0795,-268871102.4802,5041990.8253,False
0,17,-53105082.4128,0.9,-214542433.2324,108332268.4068,False
0,18,-128802393.9598,0.2086,-276459185.8068,18854397.8871,False
0,19,-19112571.0206,0.9,-176399554.7137,138174412.6726,False
0,20,-43953541.5846,0.9,-188702470.1271,100795386.9579,False
0,21,-35986809.4708,0.9,-189628421.0049,117654802.0633,False
0,22,120365497.4271,0.682,-54176109.4396,294907104.2938,False
0,23,-57678919.0101,0.9,-210178197.8841,94820359.8639,False
0,24,-84447910.1093,0.9,-243692204.3623,74796384.1436,False
0,25,-131997616.0045,0.213,-283693838.8548,19698606.8459,False
0,26,-47329390.3984,0.9,-205764698.1057,111105917.3088,False
0,27,-54786581.4117,0.9,-201876352.5884,92303189.765,False
0,28,-86486393.5303,0.8442,-224700602.4485,51727815.3879,False
0,29,-43838115.4704,0.9,-188436732.1395,100760501.1988,False
1,2,40855607.2077,0.2981,-8216035.2061,89927249.6215,False
1,3,-67725278.2763,0.2234,-146009796.3988,10559239.8462,False
1,4,51160584.222,0.4286,-13855784.3721,116176952.8162,False
1,5,39054270.5485,0.8455,-23408714.2326,101517255.3297,False
1,6,41908665.0147,0.9,-29094506.4331,112911836.4625,False
1,7,-5562833.1355,0.9,-98482412.1626,87356745.8916,False
1,8,106694017.9661,0.001,43793914.0441,169594121.888,True
1,9,30566360.076,0.9,-124565666.477,185698386.629,False
1,10,29965730.918,0.9,-52507919.0648,112439380.9008,False
1,11,47567851.6736,0.5402,-16241369.7445,111377073.0916,False
1,12,37509412.948,0.9,-44120692.9637,119139518.8596,False
1,13,125445706.6792,0.001,41192896.768,209698516.5904,True
1,14,115205475.3089,0.001,58713943.3821,171697007.2358,True
1,15,-55378195.5409,0.6043,-132267751.6078,21511360.526,False
1,16,-25279237.0761,0.9,-91456270.9364,40897796.7841,False
1,17,53530236.3386,0.9,-54563807.8043,161624280.4814,False
1,18,-22167075.2085,0.9,-108334541.9115,64000391.4945,False
