Funder,Number of awards,Value of awards
AHRQ,84,20015210
ATSDR,3,1200000
FDA,1,199999
FIC,10,1111681
NCATS,52,45528321
NCBDDD,5,2194730
NCCDPHP,4,1078006
NCCIH,12,5015281
NCEZID,9,845310
NCHHSTP,7,1174056
NCI,1185,472034832
NCIPC,4,1089527
NCRR,13,4030329
NEI,185,67418243
NHGRI,156,109943631
NHLBI,477,267564900
NIA,484,333549650
NIAAA,138,43189311
NIAID,283,143085490
NIAMS,95,29252179
NIBIB,339,124566545
NICHD,194,81214705
NIDA,171,81378237
NIDCD,129,62255329
NIDCR,56,15726481
NIDDK,174,78093886
NIEHS,121,41046980
NIGMS,376,133310115
NIMH,655,297165076
NIMHD,24,7314608
NINDS,310,129705510
NINR,89,27640495
NIOSH,4,883467
NLM,257,81665140
OD,22,16202648
PHPPO,3,1343128
