Mechanism,Number of awards,Value of awards
D43,1,73250
DP1,24,20152850
DP2,36,60652517
DP3,3,8045833
DP5,15,5395276
F30,105,4515290
F31,302,11131850
F32,230,12269109
F37,5,209120
F38,4,269020
F99,12,472065
G08,17,2013481
G20,1,500000
K00,7,538410
K01,374,55930801
K02,44,6731660
K07,40,5642144
K08,188,31167404
K12,5,2093635
K18,5,628473
K22,34,5336006
K23,315,56287875
K24,72,12324239
K25,133,18422439
K43,3,185322
K76,5,1145978
K99,265,28982116
KL2,6,3290970
N01,18,17974282
N02,3,270103
N03,16,7986588
N43,26,8646886
N44,3,3249718
OT2,18,17472384
OT3,10,7774024
P01,49,72801873
P20,23,19322898
P2C,4,3583361
P30,72,60330309
P41,36,50197444
P42,2,4566947
P50,83,156973795
R00,168,39851123
R01,7014,3316618059
R03,267,26004430
R13,84,1531197
R15,48,17980285
R18,20,8479842
R21,1129,242766032
R24,71,61826903
R25,92,15697619
R29,11,1243378
R33,83,35986508
R34,44,10583894
R35,177,69769714
R36,6,254176
R37,44,17968270
R41,100,21254048
R42,61,36534384
R43,479,95380235
R44,575,332469448
R50,2,253333
R56,95,58588459
R61,42,48438966
R90,11,2494898
RC1,36,16963126
RC2,29,43215197
RF1,67,126948995
RM1,7,9099934
S07,1,1
S10,16,14082543
SB1,2,1299158
SC1,12,3639605
SC2,3,441000
SC3,12,985806
U01,815,600017621
U13,3,404893
U18,16,10421488
U19,60,170003757
U24,195,268139900
U2C,16,24977197
U34,2,718747
U41,33,53379064
U44,7,2967278
U54,138,194121746
UC2,1,1957980
UF1,1,2200000
UG1,26,41555778
UG3,25,11262742
UH2,35,12341907
UH3,38,27108526
UL1,19,37498501
UM1,9,12715257
Y01,6,3224597
