Year,Number of awards,Value of awards
1985,84,17373995
1986,90,18224650
1987,105,23771018
1988,114,23434460
1989,113,22594308
1990,101,23345415
1991,120,26175411
1992,129,29257927
1993,142,30311572
1994,131,27437087
1995,79,18802771
1996,9,1426255
1997,159,30978718
1998,146,31233820
1999,147,31371419
2000,149,39656154
2001,157,43492500
2002,199,51471531
2003,223,63593707
2004,214,66953505
2005,223,76872187
2006,205,70756958
2007,411,158557083
2008,451,163299547
2009,625,235629168
2010,586,280006859
2011,494,207588447
2012,554,220754756
2013,555,227702285
2014,676,288204623
2015,789,350796872
2016,897,409118041
2017,1093,540577423
2018,1592,754340427
2019,2117,1138128777
2020,2750,1433840877
