9254171,Rule-based Semantics and Big Data Based Methods for Effective Clinical Decision Support (CDS): A Pediatric Severe Sepsis Case Study using ICU Data,2
9258847,"Genotype and Histological Phenotype Relationships in Cancer, with Automated Therapy Optimization.",3
9281905,A New Generation Clinical Decision Support System,3
9295067,Pattern Classification Using Magnetic Resonance Imaging in Traumatic Brain Injury,2
9324260,Integrative Bioinformatics Approaches to Human Brain Genomics and Connectomics,4
9345675,Rule Based Semantics and Big Data Based Methods for Early Identification of Patients at Risk of Acute Respiratory Distress Syndrome (ARDS),2
9370686,Core 2: Applied Meta'Omics Core,4
9390382,Functional and Structural Optical Coherence Tomography for Glaucoma,2
9403171,Crowd-Assisted Deep Learning (CrADLe) Digital Curation to Translate Big Data into Precision Medicine,1
9416817,"Genotype and Histological Phenotype Relationships in Cancer, with Automated Therapy Optimization.",3
9432651,Early Prediction of Cognitive Deficits in Very Preterm Infants using Machine Learning and Brain Connectome,1
9435649,Using the RDoC Approach to Understand Thought Disorder: A Linguistic Corpus-Based Approach,1
9447403,Spectral precision imaging for early diagnosis of colorectal lesions with CT colonography,3
9482419,Integrative Bioinformatics Approaches to Human Brain Genomics and Connectomics,4
9489803,Advanced Imaging,4
9520503,Deep interpretation of mammographic images in breast cancer screening,3
9526090,Deep Learning for Characterizing Knee Joint Degeneration Predicting Progression of Osteoarthritis and Total Knee Replacement,4
9526827,Quantitative Imaging Biomarkers of Treatment Response and Prognosis in Breast Cancer,3
9527181,Crowd-Assisted Deep Learning (CrADLe) Digital Curation to Translate Big Data into Precision Medicine,1
9531474,Stimulated Raman imaging for label-free histology to guide brain tumor surgery,4
9540181,Biomedical Data Translator Technical Feasibility Assessment and Architecture Design,2
9544958,Stimulated Raman imaging for label-free histology to guide brain tumor surgery,4
9564111,Functional and Structural Optical Coherence Tomography for Glaucoma,2
9567916,4 - Assessing the Overuse and Underuse of Diagnostic Testing,2
9568318,Core 2: Applied Meta'Omics Core,4
9578938,High resolution mapping of the genetic risk for disease in the aging brain,1
9584176,Novel Non-Invasive Coronary Flow Patterning to Predict Early Coronary Microvascular Disease,3
9593020,Optimizing Genetic Testing for Deafness for Clinical Diagnostics,2
9599417,Cerebrovascular Reserve Imaging with Simultaneous PET/MRI Using Arterial Spin Labeling and Deep Learning,1
9600692,Automatic Voice-Based Assessment of Language Abilities,1
9606448,APPLYING ERROR-CORRECTED SEQUENCING TO DETECT MINIMAL RESIDUAL IN THE AAML 1031 STUDY,2
9606512,Multi-modal imaging of the mechanisms underlying impaired executive attention after traumatic brain injury,1
9607075,Spectral precision imaging for early diagnosis of colorectal lesions with CT colonography,3
9608754,Advanced Computational Approaches for NMR Data-mining,2
9608839,2018 In Vivo Magnetic Resonance Gordon Research Conference & Gordon Research Seminar,4
9613818,Multi-scale data integration frameworks to improve cancer outcomes,4
9614294,"Integrating data, algorithms and clinical reasoning for surgical risk assessment",2
9614335,Positive Valence Systems and Manic Symptom Trajectories in Adolescent Depression,1
9614566,Early Detection and Treatment of Emerging Cognitive-Linguistic Impairment in Minority Cognitive Aging and Primary Progressive Aphasia,1
9615037,Community Surveillance of Coronary Heart Disease,2
9619051,Learning radiomic signatures to early predict response of rectal cancer patients to neoadjuvant chemoradiation therapy,3
9619411,Machine learning to distinguish HAND from Alzheimer's disease in HIV over age 60,1
9620574,An integrated neural network analysis and video microscopy platform for fully automated particle tracking,2
9624294,Biomarker-Based Tools for Treatment Response Decision Support of Bladder Cancer,3
9625104,Identification of Microbiome Based Markers to Improve Colorectal Cancer Detection,2
9625118,Classifying addictions using machine learning analysis of multidimensional data,0
9625162,Genomic and Phenomic Architecture of Heart Failure,2
9626417,"PED Screen: Pediatric Sepsis EHR Registry, Clinical Outcomes, and Predictive Model",2
9626931,Genome-wide structural organization of proteins within human gene regulatory complexes,2
9627997,Optimization and joint modeling for peptide detection by tandem mass spectrometry,2
9630311,Implementing Precision Medicine: Determinants of Adoption in Community Oncology,3
9632895,Biomedical Informatics,4
9634912,SCH: Active Learning for Medical Applications,3
9637337,"Genotype and Histological Phenotype Relationships in Cancer, with Automated Therapy Optimization.",3
9637480,Automating Delirium Identification and Risk Prediction in Electronic Health Records,2
9638420,Maternal circulating miRNA function in Fetal Alcohol Spectrum Disorders,0
9638528,Towards the automation of MR spectroscopic imaging in patients with glioblashoma,4
9638561,"A platform for mining, visualization and design of microbial interaction networks",2
9638873,Deriving a Clinical Decision Rule for Suicide Risk in the Emergency Department Setting,2
9639117,MR Fingerprinting for Epilepsy,2
9639494,Interpretable Machine Learning to Identify Alzheimer's Disease Therapeutic Targets,1
9640524,"Development of a Machine Learning Model to Integrate Clinical, Laboratory, Sonographic, and Elastographic Data for Noninvasive Liver Tissue Characterization in NAFLD",2
9641499,PsycheMERGE: Leveraging electronic health records and genomics for mental health research,0
9642291,Predicting tuberculosis outcomes using genotypic and biomarker signatures,2
9642534,Predicting Autism and Social Functioning from Computer Vision Analyses of Motor Synchrony During Dyadic Interactions,0
9643500,"Machine Learning of Physiological Waveforms and Electronic Health Record Data to Predict, Diagnose, and Treat Hemodynamic Instability in Surgical Patients",2
9645433,Integrative data science approaches for rare disease discovery in health records,2
9646600,Improving Diagnosis of Multiple Sclerosis Through the Integration of Novel Imaging and Laboratory Biomarkers,2
9646939,Development and Validation of Quantitative Anterior Segment OCT-based Methods to Evaluate Patients with Primary Angle Closure Disease,2
9647173,High-Throughput Functional Genomics to Guide Precision Oncology in Gastrointestinal Tumors,4
9647817,Automatic quantification of myocardial motion in older adults,1
9650473,Decoding the neural time-course of spoken word recognition,1
9652630,"Environment, Metabolomics, and PD",2
9652672,Data-Driven Identification of the Acute Respiratory Distress Syndrome,2
9653164,Quantitative Imaging Biomarkers of Treatment Response and Prognosis in Breast Cancer,3
9653979,Multimodal MR-PET Machine Learning Approaches for Primary Prostate Cancer Characterization,4
9654700,Identifying individuals at risk of progression to active tuberculosis,2
9654779,Socioemotional processing in female offenders - Resubmission 01,1
9655181,A Machine Learning Approach For CTA-based Plaque Characterization and Stroke Risk Prediction in Carotid Artery Atherosclerosis,4
9655950,Novel Informatics Approaches for Ascertainment of PAD Status and Adverse Outcomes,2
9656869,Assessing the Robustness of Radiogenomic Associations using Deep Neural Networks in Glioblastoma Multiforme,4
9658032,Improving Colorectal Cancer Screening and Risk Assessment through Deep Learning on Medical Images and Records,3
9658063,Automatic Rib Fracture Detection in Pediatric Radiography to Identify Non-Accidental Trauma,2
9658524,Statistical Methods in Trans-Omics Chronic Disease Research,2
9661259,"Familial hypercholesterolemia screening in children: population impact of phenotype, genotype, and cascade approaches",2
9663908,Deep interpretation of mammographic images in breast cancer screening,3
9664901,Personalizing Preoperative Stress Testing Using Machine Learning,2
9665259,Multi-parametric 4-D Imaging Biomarkers for Neoadjuvant Treatment Response,4
9666293,Relationship between Glaucoma and the Three-Dimensional Optic Nerve Head Related Structure,2
9666310,Computational Characterization of Environmental Enteropathy,2
9667435,Machine Learning Tools for Discovery and Analysis of Active Metabolic Pathways,2
9667956,An artificial intelligence-driven distributed stereotactic radiosurgery strategy for multiple brain metastases management,4
9668002,Development of an automated method to capture bladder cancer recurrence and progression for epidemiologic research,3
9668004,Individually-tailored clinical decision support for management of indeterminate pulmonary nodules,3
9669002,Deep Learning for Characterizing Knee Joint Degeneration Predicting Progression of Osteoarthritis and Total Knee Replacement,4
9669113,Using the RDoC Approach to Understand Thought Disorder: A Linguistic Corpus-Based Approach,1
9669438,Anatomic biomarkers of chronic kidney disease progression among children,2
9670822,Molecular images and machine learning to extract placental function from maternal cfDNA,2
9672582,"Clinical significance and genetic determinants of novel imaging measures of emphysema distribution in 9,743 smokers",2
9673231,Advancing Chronic Condition Symptom Cluster Science Through Use of Electronic Health Records and Data Science Techniques,2
9675213,Nasal biomarkers of asthma,2
9676988,Methods and Tools for Integrating Pathomics Data into Cancer Registries,2
9677952,"New instrument and methods for fast, diagnostic-quality histology of un-embedded bone marrow and lymph node specimens",4
9678297,A Quality Control Program for Quantitative MRI Data Acquisition and Analysis in Multi-site Clinical Trials,4
9678366,Systems Level Causal Discovery in Heterogeneous TOPMed Data,2
9678895,"AmplideX DeepNet, a new paradigm for deep learning analytical tools in the molecular diagnostic space",2
9679136,1-D Titania Nanostructure Based Wearable Alcohol Sensor with Tunable Sensitivity and Artificial Intelligence,2
9679688,Interactive Companion Robot for Preventing Neuro-Cognitive Decline in Alzheimer's and Other Dementias,1
9679729,Analytics-Based Platform for Diabetic Retinopathy Care Management,2
9680179,Malarial Retinopathy Screening System for Improved Diagnosis of Cerebral Malaria,4
9680488,Development of a tracheal sound sensor for early detection of hypoventilation due to opioid overdose.,2
9681054,Combinatorial Biomarkers for Malignant Polyps and Colon Cancer Detection,3
