Mechanism,Number of awards,Value of awards
D43,1,222120
DP1,18,15971642
DP2,28,48895398
DP3,3,7967803
DP5,15,5395290
F30,75,3203607
F31,217,7875392
F32,172,9007789
F37,10,357708
F38,7,444314
F99,9,340494
G08,16,5395747
G20,1,500000
K00,6,455340
K01,290,42193415
K02,49,6561961
K04,21,1224567
K05,3,301844
K07,25,3244892
K08,121,19558296
K12,5,2093635
K18,3,467553
K22,28,4405884
K23,217,38025361
K24,49,8684696
K25,106,14429544
K43,3,185322
K76,4,921902
K99,196,20926551
KL2,5,2175530
OT2,10,10640413
OT3,10,7774024
P01,38,57748916
P20,19,19122237
P30,47,45179663
P41,73,70042543
P42,1,2414074
P50,67,134186653
R00,117,27734008
R01,5621,2448108930
R03,211,19877646
R13,58,1074618
R15,36,13912265
R18,18,5807528
R21,826,181290902
R23,6,336898
R24,75,61561911
R25,73,13279615
R29,156,15447689
R33,75,31067091
R34,33,8661538
R35,125,51251503
R36,4,169467
R37,30,11169913
R41,89,17157544
R42,52,29848152
R43,553,82879225
R44,575,272586337
R50,2,253333
R55,3,300000
R56,72,44931097
R61,24,34953062
R90,9,2700745
RC1,25,12328866
RC2,26,41590101
RF1,38,88996038
RM1,3,7381075
S07,2,50279
S10,16,10586840
SB1,1,280375
SC1,9,2666685
SC2,3,441000
SC3,8,592686
U01,521,466411977
U10,3,668360
U13,3,744536
U18,4,1064213
U19,48,157447097
U24,129,242455919
U2C,13,23554116
U34,2,965595
U41,27,39902210
U44,6,1842908
U54,106,226484059
UF1,1,2323583
UG1,10,14757563
UG3,17,11367757
UH2,30,12868591
UH3,26,23609042
UL1,9,12089101
UM1,7,9379067
