Year,Number of awards,Value of awards
1985,79,17886839
1986,84,17698544
1987,96,23916526
1988,98,22274973
1989,96,21343333
1990,84,21121401
1991,100,23564059
1992,110,26192483
1993,122,26611478
1994,112,22775312
1995,64,15347327
1996,10,1460929
1997,138,25741208
1998,118,24217384
1999,119,24413120
2000,115,30101812
2001,112,29951451
2002,133,33372363
2003,138,40267974
2004,134,41046122
2005,138,49956519
2006,119,47311060
2007,221,93156632
2008,248,92939589
2009,313,121471637
2010,288,132961360
2011,276,128666079
2012,320,139345403
2013,347,158765282
2014,428,198210781
2015,535,266697474
2016,652,312768793
2017,871,464207363
2018,1305,648663887
2019,1617,897926963
2020,2164,1165399316
