pmid,year,title,authors,journal,is_research_article,relative_citation_ratio,nih_percentile,human,animal,molecular_cellular,apt,is_clinical,citation_count,citations_per_year,expected_citations_per_year,field_citation_rate,provisional,x_coord,y_coord,cited_by_clin,cited_by,references,doi
15733791,2000,Lipoprotein (a) and the risk of ischemic stroke in young women.,"R J Wityk, S J Kittner, J L Jenner, J R Hebel, A Epstein, M A Wozniak, P D Stolley, B J Stern, M A Sloan, T R Price, R J McCarter, R F Macko, C J Johnson, C J Earley, D W Buchholz, E J Schaefer",Atherosclerosis,Yes,0.55,29.8,1.0,0.0,0.0,0.75,No,21,1.0,1.815680332935305,4.585071769728206,No,0.0,1.0,,"[12791946, 25428197, 34341405, 20461114, 30679327, 11730086, 10797185, 19149643, 15083210, 17478739, 26298741, 12818244, 12443591, 11886363, 11865151, 12447639, 16088113, 27575936, 23253530, 17113602, 12588282]","[1440702, 8139085, 8318505, 7715039, 7495281, 2524666, 8390232, 2945294, 8322396, 1481643, 2139920, 3670400, 7839396, 9712347, 7981841, 8703181, 2148699, 8462142, 1837713, 2936355, 8685934, 2528948, 2476992, 8266386, 2388378, 7660402, 8499402, 2938594, 8411602, 7796086, 8329699, 7570736, 7648239, 2142355, 1825896, 7534219, 3665103, 2542796, 8929151, 2950338, 2149271]",10.1016/s0021-9150(99)00388-3
15733791,2000,Specific subnuclei of the nucleus tractus solitarius play a role in determining the duration of inspiration in the rat.,"A M Wasserman, N Sahibzada, Y M Hernandez, R A Gillis",Brain Res,Yes,0.71,38.0,0.0,0.5,0.5,0.05,No,24,1.1428571428571428,1.6026745579778474,3.7332673752059944,No,0.0,-0.5,,"[20149846, 12031852, 20164386, 18617567, 11960965, 29474953, 17977921, 12660099, 23218834, 23720253, 29516654, 12798209, 16084661, 27148082, 21471397, 28250153, 21255634, 21948527, 15519561, 26810525, 25194196, 12429562, 19703965, 25194202]","[3653307, 3828822, 6800984, 10221983, 10700557, 3443941, 2213599, 3401784, 8799902, 8180838, 4050470, 1382802, 6800563, 9070632, 3450694, 10591893, 3529237, 3567646, 7174893, 8383713, 325413, 6422773, 9672389, 3676744, 8553909, 9862393, 7798382, 7493609, 1683005, 3361003, 7831394, 9547397, 7816547, 6661613, 9374806, 6283041, 3627444, 922474, 2836492, 9698187, 2070263]",10.1016/s0006-8993(00)02782-7
15733791,2001,A novel formalism to characterize the degree of unsaturation of organic molecules.,"M Badertscher, K Bischofberger, M E Munk, E Pretsch",J Chem Inf Comput Sci,Yes,0.63,33.9,0.0,0.0,1.0,0.05,No,21,1.05,1.6703176433406988,3.703482650064813,No,-0.8660254037844386,-0.5,,"[17389044, 33352198, 16514517, 22376063, 24499328, 28800219, 28050872, 30047191, 34474190, 28202193, 33618483, 29609141, 19827778, 21289855, 23706957, 22166099, 30306235, 21067169, 29385108, 26678254, 12546556]","[3392122, 6045607]",10.1021/ci000135o
15733791,2002,"Groups IV, V, and X phospholipases A2s in human neutrophils: role in eicosanoid production and gram-negative bacterial phospholipid hydrolysis.","Norbert Degousee, Farideh Ghomashchi, Eva Stefanski, Alan Singer, Brian P Smart, Niels Borregaard, Reinhardt Reithmeier, Thomas F Lindsay, Cornelia Lichtenberger, Walter Reinisch, Gerard Lambeau, Jonathan Arm, Jay Tischfield, Michael H Gelb, Barry B Rubin",J Biol Chem,Yes,3.35,87.6,0.17,0.0,0.83,0.5,No,154,8.105263157894736,2.4165699327126378,6.064933840960656,No,-0.7216878364870322,-0.25,"[16096451, 15259375]","[23420493, 25119545, 16476735, 26715269, 26023050, 24820086, 16376294, 25122761, 32482892, 32532115, 18493301, 14516201, 23349189, 27650501, 34118292, 18177747, 27282246, 15611272, 17417690, 20705608, 18343372, 23451035, 20662025, 16177112, 15909595, 15252038, 24269828, 15863501, 12359733, 18834875, 34010648, 16392799, 16048557, 17403936, 21255140, 12839576, 15292070, 19185172, 24907600, 25141938, 15475363, 17275398, 17901411, 11877435, 15516491, 16146426, 20232296, 24089590, 23022039, 12401193, 28063498, 16757211, 23690440, 15522823, 21561115, 15654975, 20347923, 21944319, 31370188, 15123778, 12085323, 15253649, 28743568, 16099408, 25824843, 16096451, 27226633, 24862647, 20098448, 21984544, 21746768, 16967052, 21910409, 17077289, 15259375, 31405958, 15007070, 12782627, 20139082, 26820468, 19541351, 18506007, 26139511, 19130898, 21849511, 20833395, 28458672, 12522102, 11922621, 17202322, 25725101, 17878379, 22967966, 15781456, 24337743, 24725934, 19019078, 29024642, 16585595, 12124392, 24727088, 30905346, 27196884, 22198097, 15967714, 31355297, 26438362, 20052409, 12796497, 15789617, 17293613, 14744809, 22285163, 15670148, 15509193, 19286925, 17579085, 16952481, 24839929, 14761945, 26079797, 21147147, 21185866, 20219624, 16945583, 18264128, 26274957, 17046321, 19232341, 20421306, 15863368, 16272335, 21848517, 17178785, 12161451, 30308324, 27226632, 16501051, 18465654, 22173044, 18853244, 30010011, 29093264, 16275640, 15505048, 17970059, 16188494, 15923342, 29348168, 18438879, 17643350, 17353016, 16253130, 15052324]","[3772295, 10320804, 10618515, 10652303, 11019817, 2274785, 8300559, 10657662, 11034411, 10713052, 2189895, 9806761, 8656051, 10322502, 10207008, 10531350, 11112443, 10771478, 9201969, 500619, 8698462, 7695620, 2123404, 9822691, 9705332, 9153207, 9188469, 2997278, 10678935, 8175726, 11150521, 10567392, 10618519, 6349718, 11080677, 10868798, 2182625, 7031820, 9885231, 11106649, 10485256, 2156611, 3801674, 7929350, 2925608, 7721806, 8166626, 10752689, 1904318, 10946309, 9403692, 9051728, 8165440, 2051918, 3128547, 9160655, 11278438, 7837165, 9200478, 8257775, 9211858, 9622592, 3768394, 2026155, 11031251, 2536474, 8660827, 9254630, 10455175, 8943302, 10614782, 9596749, 11080676, 11080672, 11470087, 9531617, 11341961, 9254629, 9025916, 8816854, 10212194, 3548813, 3123482, 11080678, 2312733, 8010941, 2967437, 9202883, 11238650, 10753884, 11389039, 9691100, 1948070, 10737736, 10681567, 10618516, 11118430, 8977262, 7664108, 9403693, 7548076]",10.1074/jbc.M109083200
21097243,2002,Antiphospholipid antibodies and stroke in young women.,"Robin L Brey, Christian L Stallworth, David L McGlasson, Marcella A Wozniak, Robert J Wityk, Barney J Stern, Michael A Sloan, Roger Sherwin, Thomas R Price, Richard F Macko, Constance J Johnson, Christopher J Earley, David W Buchholz, J Richard Hebel, Steven J Kittner",Stroke,Yes,2.22,78.0,1.0,0.0,0.0,0.95,No,94,4.947368421052632,2.2265933785792362,5.326454569096861,No,0.0,1.0,"[14762036, 21127304, 26513489, 16675728, 16785347]","[32348103, 15216912, 20185032, 33865368, 18569388, 22899027, 22616965, 14762036, 25907919, 15507283, 19422448, 27377297, 24365371, 19804471, 17661875, 19783216, 21188647, 15927998, 26396056, 33341301, 24788967, 29983229, 20008213, 12892389, 15602354, 14745053, 27625376, 15732296, 14759358, 19783215, 16093807, 24942381, 14633796, 15507282, 19758143, 24418303, 21127304, 18817951, 15338141, 20008203, 21331344, 26004758, 16205856, 15188932, 17971641, 22893315, 24776923, 25434364, 19026895, 26513489, 15147465, 23233619, 21804773, 21242018, 23286717, 19498198, 16675728, 22147897, 28116653, 28394226, 19884738, 31008265, 17346165, 16097850, 16126988, 16721258, 16573816, 15143296, 15580985, 29885542, 23115432, 16155513, 21789269, 22109663, 23026657, 17768691, 20192975, 28824414, 24374061, 24097997, 18927458, 24560819, 31957081, 16774621, 16205859, 16785347, 22836909, 16880079, 20532956, 16788294, 17934356, 31220915, 33874743, 18207068]","[11805254, 10968904, 10227619, 2116604, 1497015, 8841318, 9844811, 2305407, 8703181, 10436101, 1866745, 11534259, 1561646, 9382667, 1443986, 7667838, 10024199, 2011251, 7818647, 9532284, 2337006, 7805207, 7936859, 8578520, 7631299, 8023350, 7916907, 9443480, 10835446, 8610486, 9054646, 7839396, 9493141, 9268241, 7804310, 8256780, 9409306, 10403256, 9008500, 1346819, 9814674, 7611714, 8413969, 11486093]",10.1161/01.str.0000031927.25510.d1
21097243,2002,GABA-mediated neurotransmission in the ventrolateral NTS plays a role in respiratory regulation in the rat.,"Adam M Wasserman, Manuel Ferreira, Niaz Sahibzada, Yvonne M Hernandez, Richard A Gillis",Am J Physiol Regul Integr Comp Physiol,Yes,0.77,40.6,0.0,0.75,0.25,0.05,No,27,1.4210526315789473,1.8500197123577784,3.862632635370103,No,0.43301270189221935,-0.5,,"[26015156, 15176437, 20489046, 31572117, 33813668, 24639482, 18360306, 19479988, 29474953, 20837402, 19008339, 18082229, 28927958, 23318703, 23720253, 15519549, 32100293, 15555768, 21471397, 16364143, 18272881, 16051723, 15519561, 25194196, 16778062, 31396094, 16519666]","[3995298, 2872821, 10404112, 2213599, 7953724, 8336820, 10591893, 10448815, 7965054, 9931160, 6715579, 7174893, 10103070, 1691748, 6422773, 10209232, 9672389, 11641110, 3409013, 8227518, 3361003, 1704284, 8815930, 2564802, 3038827, 8385542, 11032996, 9698187, 3828822, 3653307, 7585341, 3730843, 10700557, 9507124, 3401784, 8180838, 10390643, 2794117, 7798382, 6308214, 1375441, 10871317, 2570869, 1380401, 2765913, 9671689, 10495441, 9374806, 9483540]",10.1152/ajpregu.00488.2001
21097243,1992,Assignment of the human CRABP-II gene to chromosome 1q21 by nonisotopic in situ hybridization.,"J T Elder, A Aström, U Pettersson, J J Voorhees, J M Trent",Hum Genet,Yes,0.32,16.8,0.12,0.25,0.62,0.05,No,13,0.4482758620689655,1.4088628508896162,6.439940931826371,No,-0.32475952641916445,-0.3125,,"[7488392, 9683602, 8162338, 9154115, 17180107, 8618016, 8530009, 8157788, 9344646, 8088830, 8276421, 9886260, 7600066]","[1150675, 1673698, 5963888, 6312838, 1654334, 3013093, 3036810, 2439338, 6325455, 7229429, 1648546, 2740331, 1691830, 2237408, 3267207, 6169442, 2574003, 1559705, 1651563, 1651562, 2002257, 1655630, 3039499, 2166951, 6616453, 1195397, 1713141, 2686112, 2825025, 4200179, 6189589]",10.1007/BF00219171
21097243,2004,Acquired immunodeficiency syndrome and the risk of stroke.,"John W Cole, Amelia N Pinto, J Richard Hebel, David W Buchholz, Christopher J Earley, Constance J Johnson, Richard F Macko, Thomas R Price, Michael A Sloan, Barney J Stern, Robert J Wityk, Marcella A Wozniak, Steven J Kittner",Stroke,Yes,2.66,82.7,1.0,0.0,0.0,0.95,No,98,5.764705882352941,2.170284327100658,4.640274288225998,No,0.0,1.0,"[25280902, 21671884]","[15963333, 20584453, 22554568, 30268726, 18804684, 18090303, 33591056, 18831696, 24715487, 34266788, 15039031, 29040166, 25280902, 32632673, 16446621, 23067346, 21646903, 20423342, 21599547, 18823420, 34138769, 18342059, 34114141, 28955429, 25280903, 22653528, 22528476, 27160382, 21248273, 18655312, 25862803, 22912660, 22261608, 16157915, 16540453, 19534663, 20166970, 21671884, 29628338, 25058690, 16479447, 17404126, 32244092, 20172409, 20800860, 28137330, 16120377, 33661824, 29967196, 27528995, 23972010, 16886142, 22474601, 29666731, 29604976, 22580566, 24212385, 24605577, 18358567, 25040336, 18288880, 17109568, 25693815, 19025478, 18671668, 32722629, 15802634, 19642035, 21618845, 17438215, 19562611, 16023535, 17470469, 26890389, 21964846, 23425303, 17545723, 31154814, 15847207, 24979113, 17291536, 16618338, 19390181, 23738819, 19397399, 17600265, 33962464, 24881525, 31859019, 25401263, 27044037, 18808973, 23480988, 23556125, 22995692, 33837961, 23680889, 19814669]","[8610326, 7839396, 1443299, 8929167, 10187884, 10878712, 10978040, 3363586, 1088404]",10.1161/01.STR.0000105393.57853.11
21097243,2004,Loss of glial fibrillary acidic protein results in decreased glutamate transport and inhibition of PKA-induced EAAT2 cell surface trafficking.,"Ethan G Hughes, Jamie L Maguire, Melanie T McMinn, Rachael E Scholz, Margaret L Sutherland",Brain Res Mol Brain Res,Yes,2.34,79.4,0.0,0.36,0.64,0.25,No,102,6.0,2.5654761032285265,6.1369093647989,No,-0.23618874648666505,-0.5,,"[30926546, 21219963, 24508671, 23937522, 24095695, 30554860, 25737228, 25480579, 20193723, 33893911, 29853967, 33694249, 24231735, 30635928, 22606332, 26747027, 28989099, 30904500, 16842914, 32038140, 21322057, 18825147, 19606499, 19137572, 25982835, 27046518, 22421531, 19019082, 21411673, 19627442, 17306230, 19799953, 33359797, 18419760, 18958191, 22924813, 17088867, 25225092, 19931615, 22890077, 32448426, 26320029, 22143495, 32399469, 17511618, 31038797, 19225596, 33634529, 23469922, 19936568, 27068181, 33347902, 31051301, 18661557, 32416165, 23990215, 19211881, 29766217, 20079338, 26809583, 25578257, 19428805, 28317185, 25731615, 33673694, 22528834, 29653988, 20143158, 23361961, 29762127, 15846805, 15846806, 26855578, 25837300, 28087979, 21719739, 17346885, 25408463, 23518226, 26088166, 33328902, 21453731, 20850433, 26797041, 30759771, 16819765, 17684014, 15639805, 22127301, 17249592, 23939750, 31626364, 21801442, 31493121, 30881288, 33216313, 23313319, 19000745, 28140557, 15254085, 21309758, 22999633]","[7737111, 11788834, 9287225, 8601800, 8537822, 8479146, 8692820, 9592083, 7791878, 7826639, 10908037, 11340204, 8756437, 11545719, 1999469, 7911978, 8785056, 11158678, 9108121, 7917301, 12629170, 8134839, 10804201, 9495799]",10.1016/j.molbrainres.2004.02.021
21097198,1992,An evaluation of the diagnostic accuracy of Pathfinder.,"D E Heckerman, B N Nathwani",Comput Biomed Res,Yes,1.24,58.4,1.0,0.0,0.0,0.25,No,22,0.7586206896551724,0.610825125476423,2.0346218843436694,No,0.0,1.0,,"[1635470, 9082138, 16926323, 9421664, 7743320, 9308736, 12668689, 1635462, 8358494, 9861506, 7719792, 7950058, 11861623, 9055043, 16834566, 7799817, 7858661, 8282430, 8152354, 25571435, 16779022, 8130512]","[2403974, 4568217, 7017344, 4552594, 10295520, 982034, 7048091]",10.1016/0010-4809(92)90035-9
