coreproject,pmid,applid
P30NS045839,15733791,9212201
R01DA015149,15733791,9212201
S10RR002395,15733791,9212201
R24HD039621,15733791,9212201
P41EB015904,21097243,8719997
P41RR023953,21097243,8719997
R01EB013695,21097243,8719997
S10RR002395,21097243,8719997
P41EB001977,21097243,8719997
P41RR023953,21097198,8706336
P41EB001977,21097198,8706336
P41EB015904,21097198,8706336
S10RR002395,21097198,8706336
R01AM025254,3225477,6475484
P50AA005662,3731745,6475484
R01AM025254,3731745,6475484
R01AM028488,3600400,6475484
R01AM028488,3731745,6475484
P50AA007186,3298989,6475484
R01AM025254,6376944,6475484
R01AM025254,3298989,6475484
P50AA007186,6363520,6475484
P50AA007186,3600400,6475484
R01AM028488,6222217,6475484
R01AM028488,3225477,6475484
P50AA005662,6222217,6475484
R01AM025254,2439879,6475484
R01AM025254,3600400,6475484
P50AA005662,6376944,6475484
P50AA007186,6376944,6475484
P50AA005662,3600400,6475484
P50AA007186,2439879,6475484
R01AM028488,2439879,6475484
P50AA007186,3731745,6475484
P50AA007186,6222217,6475484
P50AA005662,6363520,6475484
R01AM025254,6222217,6475484
R01AM028488,6376944,6475484
R01AM028488,3298989,6475484
P50AA007186,3225477,6475484
R01AM028488,6363520,6475484
R01AM028488,6198358,6475484
R01AM025254,6198358,6475484
P50AA007186,6198358,6475484
R01AM025254,6363520,6475484
P50AA005662,3298989,6475484
P50AA005662,2439879,6475484
P50AA005662,3225477,6475484
P50AA005662,6198358,6475484
S10RR002395,21097201,3519184
R01AM032154,3812760,3283010
R01GM033369,3812760,3283010
R01GM005472,2562840,3267886
R01AM032154,2562840,3267886
R37GM005472,2562840,3267886
R01CA013271,6197176,3163737
R01CA013271,6190568,3163737
R01CA013271,6957100,3163737
R01CA013271,7329734,3163737
R01CA013271,7027857,3163737
R01CA013271,7020518,3163737
R01CA013271,6084969,3163737
R01CA037352,4052223,3163737
R01CA013271,4052223,3163737
R01CA013271,6950623,3163737
R01CA037352,4003966,3163737
R01CA013271,7165181,3163737
R01CA013271,4003966,3163737
R01CA013271,6162305,3163737
R01CA013271,7469201,3163737
R01CA013271,2430591,3163737
R01CA013271,6187253,3163737
R01CA013271,7294542,3163737
R01CA013271,6573828,3163737
R01CA037352,2430591,3163737
R01CA013271,6397084,3163737
R01AM032865,3937962,3152634
R01AM032865,3303292,3152634
R01AM032865,3516802,3152634
R01AM032865,3621708,3152634
R01AM032865,3485924,3152634
R01AM032865,2857472,3152634
R01AM032865,3964781,3152634
R01AM032154,2884219,3152439
R01LM004420,3620734,10225315
T15LM007033,3620734,10225315
R24RR001631,3620734,10225315
P50NS015655,3980979,8289696
R01DE002774,3980979,8289696
K04DE000104,3980979,8289696
K04DE000104,6149891,8289696
R01DE002774,6149891,8289696
P01NS015655,3980979,8289696
P01NS015655,6149891,8289696
K04DE000104,3443049,3072091
R01DE002774,3443049,3072091
K04DE000104,4075790,3072091
R01DE002774,4075790,3072091
R44EY006245,1577110,6852616
R01EY007342,1577110,6852616
R43EY006245,1577110,6852616
R01EY005289,1577110,6852616
R01LM004022,3728509,3528961
R24RR001320,3943409,3528961
T15LM007044,3945184,3528961
T15LM007044,3728509,3528961
R24RR001320,3945184,3528961
T15LM007044,3943409,3528961
R24RR001320,3728509,3528961
R24RR001320,3081553,3450519
R24RR001320,3541727,3450519
R01LM004493,3301188,3450519
R01LM004022,3541727,3450519
R24RR001320,3773653,3450519
R24RR001320,3613007,3450519
R01LM004493,3821801,3450519
R01HL033041,2743755,3450519
R01HL033041,3821801,3450519
R24RR001320,3928639,3450519
R01LM004493,3315426,3450519
R24RR001320,3080451,3450519
R24RR001320,3821801,3450519
R24RR001320,3090073,3450519
R01LM004022,3613007,3450519
R24RR001320,2743755,3450519
R24RR001320,3088014,3450519
R24RR001320,3082917,3450519
R24RR001320,3934196,3450519
R24RR001320,3095350,3450519
R24RR001320,3081536,3450519
R01LM004493,3276267,3450519
R24RR001320,3276267,3450519
R24RR001320,3084510,3450519
R01LM004493,2743755,3450519
R24RR001320,3086338,3450519
R24RR001320,3930545,3450519
R01LM004022,3773653,3450519
R24RR001320,3301188,3450519
R01HL033041,3276267,3450519
R24RR001320,3315426,3450519
R24RR001320,3932382,3450519
R01AM034886,2324857,3153483
R01AM034886,2795325,3153483
R01AM034886,2703517,3153483
R01AI015244,2934532,3126095
R01AI015244,3475328,3126095
R01AI015244,6175658,3126095
R01AI015244,6480100,3126095
P01HL036577,2521491,8075630
R01HL034063,2521491,8075630
R01HL034063,2666523,8075630
P01HL036577,2666523,8075630
R37HL029891,3706898,7586230
R01HL029891,3706898,7586230
P50HL056556,3706898,7586230
P50HL027353,3706898,7586230
R01HL034063,3706898,7586230
T32DC000007,7334170,3564555
K07NS000747,7334170,3564555
T32NS007058,7334170,3564555
R01HL031440,2949580,3342560
R01HL031440,3903864,3342560
R01HL031440,3354432,3342560
R01CA028263,6467296,3168057
R01CA011430,6467296,3168057
R01CA028263,3978752,3168057
R43CA040855,2493978,6172067
T32CA009214,2493978,6172067
P30CA012227,2493978,6172067
R18LM004334,3486618,3442731
R18LM004334,3386438,3442731
K01MH000385,3753912,3068620
K01MH000385,3159828,3068620
