Funder,Number of awards,Value of awards
NCI,1099,437007290
NIA,410,281477679
NIMH,584,255488575
NHLBI,428,240617198
NIAID,244,122347481
NIGMS,345,120014505
NINDS,283,114961437
NIBIB,311,111355456
NHGRI,147,105515648
NLM,242,77136931
NIDDK,157,73476216
NIDA,155,68582509
NICHD,173,67430314
NEI,167,61390347
NIDCD,117,57719693
NIAAA,130,41679163
NIEHS,114,38238339
NCATS,42,35071110
NIAMS,84,26558347
NINR,81,23627546
AHRQ,82,19593205
OD,21,15627523
NIDCR,51,14087183
NIMHD,22,6912108
NCCIH,12,5015281
NCRR,13,4030329
NCBDDD,5,2194730
PHPPO,3,1343128
ATSDR,3,1200000
NCHHSTP,7,1174056
FIC,10,1111681
NCIPC,4,1089527
NCCDPHP,4,1078006
NIOSH,4,883467
NCEZID,9,845310
FDA,1,199999
