Mechanism,Number of awards,Value of awards,Portion of total value
R01,2517,1235465454,50.72%
U01,370,264218233,10.85%
R44,248,145966822,5.99%
R21,512,109209246,4.48%
P50,31,56601176,2.32%
U24,65,44770203,1.84%
U54,38,44494210,1.83%
R43,183,38921090,1.60%
RF1,20,37992016,1.56%
K23,164,27619544,1.13%
R56,36,25631538,1.05%
U19,22,24780679,1.02%
K01,154,23899013,0.98%
DP2,11,20069883,0.82%
R33,43,18268555,0.75%
R24,15,17519429,0.72%
R03,200,16453490,0.68%
N01,8,14981609,0.61%
UG1,13,14647141,0.60%
UL1,8,14252653,0.59%
RC2,11,14210604,0.58%
R00,58,13929051,0.57%
U41,7,13787443,0.57%
P01,12,12945505,0.53%
R42,21,12100971,0.50%
K08,69,11644435,0.48%
DP1,13,10418149,0.43%
R41,45,9934915,0.41%
K99,87,9174997,0.38%
U2C,4,9040473,0.37%
DP3,3,8045833,0.33%
RC1,15,7382862,0.30%
K25,46,6995383,0.29%
R15,19,6776735,0.28%
R35,17,6469895,0.27%
UH3,8,6443502,0.26%
P41,4,6416874,0.26%
R37,11,5003078,0.21%
R61,9,4869186,0.20%
P30,8,4690613,0.19%
UH2,8,4317091,0.18%
R18,11,4204162,0.17%
K24,23,3855603,0.16%
F31,105,3833019,0.16%
K07,25,3808014,0.16%
F32,70,3614595,0.15%
S10,3,3313984,0.14%
K22,20,3313951,0.14%
SC1,8,2893346,0.12%
R34,11,2744233,0.11%
P20,7,2412063,0.10%
N43,6,2389038,0.10%
U18,6,2166381,0.09%
K02,12,2020056,0.08%
UC2,1,1957980,0.08%
F30,44,1864178,0.08%
U44,2,1699266,0.07%
UG3,7,1576869,0.06%
OT3,2,1050727,0.04%
Y01,1,1000000,0.04%
SC3,11,888306,0.04%
N03,2,755958,0.03%
K76,3,708745,0.03%
R29,5,568467,0.02%
RC4,1,441691,0.02%
G08,3,441437,0.02%
DP5,2,392814,0.02%
R36,8,369121,0.02%
R13,18,344743,0.01%
SB1,1,300000,0.01%
K00,3,237864,0.01%
K43,3,185322,0.01%
F38,2,133313,0.01%
F37,2,91624,0.00%
D43,1,73250,0.00%
F99,2,71618,0.00%
