Feature,Document Frequency,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,
500,0.1,0.060973147,0.009310807,0.018784691,0.015604917,0.030809799,0.062542803,0.028664138,0.026786198,0.063146841,0.026281413,0.034290475
500,0.2,0.060000967,0.0620749,0.063256498,0.059775895,0.061797154,0.05748191,0.061757569,0.0631338,0.059888171,0.058620611,0.060778747
500,0.3,0.05739184,0.060570437,0.057599853,0.058102478,0.058197489,0.057260037,0.058944696,0.056186633,0.059467153,0.058093228,0.058181384
500,0.4,0.057253101,0.057642085,0.052253662,0.05819219,0.059107568,0.053989271,0.059004931,0.053805087,0.057173663,0.059793391,0.056821495
500,0.5,0.055557034,0.056299321,0.058373837,0.054445042,0.054045978,0.056348042,0.058475737,0.057050396,0.057479925,0.058380783,0.056645609
500,0.6,0.057396358,0.053810609,0.053110996,0.05650041,0.057751959,0.056047537,0.055327521,0.056499053,0.054874542,0.056718637,0.055803762
500,0.7,0.057910854,0.057633984,0.053692807,0.058540473,0.055942607,0.057320933,0.05583502,0.055673375,0.054712451,0.05615839,0.056342089
500,0.8,0.058025955,0.059286402,0.056603907,0.056360357,0.054782532,0.056590471,0.05704141,0.050079091,0.054955072,0.056325553,0.056005075
500,0.9,0.056497652,0.058038856,0.05756136,0.058315289,0.056238789,0.054583506,0.057049899,0.057775153,0.058200448,0.059037187,0.057329814
500,1,0.961365242,0.961365242,0.961455949,0.961342566,0.961274535,0.961433273,0.961274535,0.961387919,0.961387919,0.961297212,0.961358439
1000,0.1,0.045835793,0.049044892,0.051196801,0.050115272,0.0444093,-0.021372697,0.046023189,0.048672549,0.047640971,0.049714704,0.041128077
1000,0.2,0.046005621,0.047417205,0.043557167,0.048364498,0.042650409,0.050250242,0.048761844,0.046244641,0.045753394,0.048496964,0.046750199
1000,0.3,0.044545466,0.044664093,0.043512644,0.045022895,0.04533636,0.046300752,0.042949759,0.043677149,0.04431948,0.043411989,0.044374059
