Init_Value,Silhouette,SSE,Num_Clusters,,,,SSE,Silhouette
23,0.014425437,15555.37459,5,,,5,15511.36296,0.015885599
23,0.016021242,15525.02508,5,,,10,14988.90947,0.027664209
23,0.015518221,15505.41553,5,,,15,14548.25234,0.036482144
23,0.016872878,15493.47305,5,,,20,14210.79643,0.043627102
23,0.016590217,15477.52657,5,,,25,13938.1876,0.050059212
23,0.023256639,15101.2245,10,,,30,13650.13918,0.05579971
23,0.029026414,14950.94545,10,,,35,13582.25842,0.049548715
23,0.031909564,14903.92222,10,,,40,13154.46547,0.067283657
23,0.027293209,14987.55637,10,,,45,12929.02121,0.071738188
23,0.026835219,15000.89883,10,,,50,12735.48443,0.076430152
23,0.034695222,14591.59922,15,,,55,12527.69412,0.081005653
23,0.034878471,14592.36008,15,,,60,12359.37087,0.084715859
23,0.039304777,14480.0681,15,,,65,12232.09847,0.086936487
23,0.038159136,14516.13503,15,,,70,12779.5818,0.042604633
23,0.035373112,14561.09926,15,,,75,11907.77482,0.092910605
23,0.04618336,14148.21768,20,,,80,11719.64329,0.097818334
23,0.043248624,14220.06292,20,,,85,12835.34147,0.02531659
23,0.043394215,14209.72519,20,,,90,11929.6952,0.073985658
23,0.03825856,14340.69176,20,,,95,11815.95543,0.075762133
23,0.047050752,14135.2846,20,,,100,11692.15342,0.078063104
23,0.048964838,14001.603,25,,,105,11142.46703,0.107168663
23,0.049565823,13912.75171,25,,,110,11478.92375,0.082576243
23,0.050438616,13941.88676,25,,,115,11450.61922,0.078350527
19,0.051318141,13906.1477,25,,,,,
19,0.05000864,13928.54883,25,,,,,
19,0.055148067,13664.32083,30,,,,,
19,0.055577182,13622.748,30,,,,,
19,0.056191206,13656.27594,30,,,,,
19,0.053816692,13704.05775,30,,,,,
19,0.058265405,13603.29339,30,,,,,
19,0.063948532,13356.01218,35,,,,,
19,0.063020581,13405.81304,35,,,,,
19,0.065032986,13333.28574,35,,,,,
19,0.059482337,13449.74224,35,,,,,
19,-0.003740861,14366.43892,35,,,,,
19,0.065818461,13185.20852,40,,,,,
19,0.071466169,13077.20585,40,,,,,
19,0.066137685,13183.93507,40,,,,,
19,0.0656904,13160.44207,40,,,,,
19,0.067305569,13165.53583,40,,,,,
19,0.069944439,12962.47059,45,,,,,
19,0.07171433,12969.73588,45,,,,,
19,0.073194886,12875.4602,45,,,,,
19,0.070989991,12944.61806,45,,,,,
19,0.072847296,12892.82132,45,,,,,
19,0.07631534,12749.81945,50,,,,,
16,0.077810194,12663.36909,50,,,,,
16,0.075575753,12759.30648,50,,,,,
16,0.076243951,12779.24358,50,,,,,
16,0.076205522,12725.68352,50,,,,,
16,0.080478791,12543.71235,55,,,,,
16,0.083413266,12514.2999,55,,,,,
16,0.078555599,12574.69119,55,,,,,
16,0.080533896,12530.91285,55,,,,,
16,0.082046712,12474.85431,55,,,,,
16,0.084085998,12381.66007,60,,,,,
16,0.086479594,12308.69826,60,,,,,
16,0.085442611,12351.74191,60,,,,,
16,0.083657936,12374.03772,60,,,,,
16,0.083913156,12380.7164,60,,,,,
16,0.089855894,12191.75718,65,,,,,
16,0.087006534,12255.34348,65,,,,,
16,0.085781534,12228.19401,65,,,,,
16,0.086789605,12214.9784,65,,,,,
16,0.085248867,12270.21926,65,,,,,
16,0.090685328,12039.75048,70,,,,,
16,-0.039878358,13912.35799,70,,,,,
16,0.093234756,12025.67958,70,,,,,
16,0.091165641,12025.20995,70,,,,,
2,-0.022184199,13894.91102,70,,,,,
2,0.092694327,11943.95326,75,,,,,
2,0.093762519,11883.92971,75,,,,,
2,0.090894973,11941.19802,75,,,,,
2,0.09235689,11908.77457,75,,,,,
2,0.094844316,11861.01853,75,,,,,
2,0.097266565,11723.48723,80,,,,,
2,0.097558629,11720.75597,80,,,,,
2,0.097078723,11724.09351,80,,,,,
2,0.09911878,11695.37374,80,,,,,
2,0.098068975,11734.506,80,,,,,
2,-0.030476031,13658.8119,85,,,,,
2,0.09946749,11597.91939,85,,,,,
2,-0.014228253,13739.75685,85,,,,,
2,0.099578252,11617.20978,85,,,,,
2,-0.027758506,13563.00945,85,,,,,
2,-0.039197122,13711.36846,90,,,,,
2,0.103067551,11483.12013,90,,,,,
2,0.10146156,11517.44535,90,,,,,
2,0.104259518,11422.35565,90,,,,,
2,0.100336783,11514.18639,90,,,,,
2,0.10543262,11367.89137,95,,,,,
2,0.108039417,11258.46704,95,,,,,
27,-0.04106181,13658.99555,95,,,,,
27,0.099935522,11446.89979,95,,,,,
27,0.106464918,11347.52342,95,,,,,
27,0.104470178,11313.13044,100,,,,,
27,0.106479752,11263.94564,100,,,,,
27,-0.033903389,13395.07581,100,,,,,
27,0.10687324,11232.41586,100,,,,,
27,0.106395738,11256.19933,100,,,,,
27,0.107931681,11139.8551,105,,,,,
27,0.107019308,11168.43549,105,,,,,
27,0.110088217,11094.43893,105,,,,,
27,0.106183176,11117.89479,105,,,,,
27,0.104620932,11191.71085,105,,,,,
27,-0.027355896,13310.84098,110,,,,,
27,0.108795929,11026.05852,110,,,,,
27,0.110491616,11044.54364,110,,,,,
27,0.10899203,10999.64154,110,,,,,
27,0.111957538,11013.53407,110,,,,,
27,0.108489891,10978.47624,115,,,,,
27,0.111349571,10944.38657,115,,,,,
27,0.110942278,10915.41706,115,,,,,
27,0.106419958,10948.65064,115,,,,,
27,-0.045449061,13466.1656,115,,,,,
