Development and Clinical Implementation of an Artificial Intelligence Tool to Predict Risk of Upgrade of Ductal Carcinoma In Situ,33,[0.79351905],"['cancer', 'imaging', 'breast', 'patients', 'image', 'detection', 'mri', 'tumor', 'images', 'diagnosis']"
Advancing Protein Engineering Using Artificial Intelligence and the ProtaBank Mutation Database,38,[0.87847027],"['protein', 'biomedical', 'proteins', 'structure', 'methods', 'tools', 'computational', 'software', 'analysis', 'information']"
MegaPredict for predicting natural product uses and their drug interactions,38,[0.77570677],"['protein', 'biomedical', 'proteins', 'structure', 'methods', 'tools', 'computational', 'software', 'analysis', 'information']"
Deep interpretation of mammographic images in breast cancer screening,33,[0.87859055],"['cancer', 'imaging', 'breast', 'patients', 'image', 'detection', 'mri', 'tumor', 'images', 'diagnosis']"
Integrative Predictors of Temporomandibular Osteoarthritis,38,[0.50286567],"['protein', 'biomedical', 'proteins', 'structure', 'methods', 'tools', 'computational', 'software', 'analysis', 'information']"
Centralized assay datasets for modelling support of small drug discovery organizations,38,[0.89944791],"['protein', 'biomedical', 'proteins', 'structure', 'methods', 'tools', 'computational', 'software', 'analysis', 'information']"
SCH: A Computer Vision and Lens-Free Imaging System for Automatic Monitoring of Infections,33,[0.63245673],"['cancer', 'imaging', 'breast', 'patients', 'image', 'detection', 'mri', 'tumor', 'images', 'diagnosis']"
Machine learning-based segmentation and risk modeling for real-time prediction of major arterial bleeding after pelvic fractures,33,[0.72656481],"['cancer', 'imaging', 'breast', 'patients', 'image', 'detection', 'mri', 'tumor', 'images', 'diagnosis']"
Automated domain adaptation for clinical natural language processing,32,[0.8923956],"['care', 'patients', 'patient', 'ehr', 'medical', 'electronic', 'nlp', 'information', 'risk', 'records']"
Unraveling subcellular heterogeneity of molecular coordination by machine learning,6,[0.41029753],"['genetic', 'cancer', 'disease', 'gene', 'drug', 'genes', 'cell', 'aim', 'identify', 'molecular']"
A hybrid artificial intelligence framework for glaucoma monitoring,13,[0.38470996],"['risk', 'social', 'care', 'intervention', 'treatment', 'adults', 'interventions', 'older', 'study', 'patients']"
Creating an artificial intelligence therapy-to-data feedback loop for child developmental healthcare,13,[0.82087263],"['risk', 'social', 'care', 'intervention', 'treatment', 'adults', 'interventions', 'older', 'study', 'patients']"
Temporal relation discovery for clinical text,32,[0.8996598],"['care', 'patients', 'patient', 'ehr', 'medical', 'electronic', 'nlp', 'information', 'risk', 'records']"
A Machine Learning Alternative to Beamforming to Improve Ultrasound Image Quality for Interventional Access to the Kidney,33,[0.88026843],"['cancer', 'imaging', 'breast', 'patients', 'image', 'detection', 'mri', 'tumor', 'images', 'diagnosis']"
