grant_type,category_1,category_2,uncorrected_pvalues,sig_post_correction,category_1_prop,category_2_prop
#R01,Biochemical analysis,Cancer,[3.10342336e-06],[ True],0.763265306122449,0.6282051282051282
#R01,Biochemical analysis,Cardiovascular,[0.06223721],[False],0.763265306122449,0.8461538461538461
#R01,Biochemical analysis,Data types,[0.15459967],[False],0.763265306122449,0.7223476297968398
#R01,Biochemical analysis,Electronic health record,[0.03625402],[False],0.763265306122449,0.6847290640394089
#R01,Biochemical analysis,Endocrine,[0.38817047],[False],0.763265306122449,0.7284768211920529
#R01,Biochemical analysis,Environmental health,[0.23873794],[False],0.763265306122449,0.813953488372093
#R01,Biochemical analysis,Genetics,[0.11586195],[False],0.763265306122449,0.7251602564102564
#R01,Biochemical analysis,Hepatic,[0.04216032],[False],0.763265306122449,0.6632653061224489
#R01,Biochemical analysis,Human behavior and interaction,[0.17100137],[False],0.763265306122449,0.7938487115544473
#R01,Biochemical analysis,Infectious disease/Immunologic,[0.74375419],[False],0.763265306122449,0.7514285714285714
#R01,Biochemical analysis,Injuries/trauma,[0.00784109],[False],0.763265306122449,0.8811881188118812
#R01,Biochemical analysis,Knowledge,[0.42792244],[False],0.763265306122449,0.7380952380952381
#R01,Biochemical analysis,Mental health,[0.00013476],[ True],0.763265306122449,0.660377358490566
#R01,Biochemical analysis,Model types,[0.005952],[False],0.763265306122449,0.6701030927835051
#R01,Biochemical analysis,Neurologic,[0.8970443],[False],0.763265306122449,0.7661448140900196
#R01,Biochemical analysis,Other,[0.73400286],[False],0.763265306122449,0.7924528301886793
#R01,Biochemical analysis,Patient safety,[0.25481101],[False],0.763265306122449,0.7291666666666666
#R01,Biochemical analysis,Population specific,[0.16118038],[False],0.763265306122449,0.812807881773399
#R01,Biochemical analysis,Renal,[1.],[False],0.763265306122449,0.7631578947368421
#R01,Biochemical analysis,Respiratory,[0.32298551],[False],0.763265306122449,0.7263157894736842
#R01,Biochemical analysis,Training,[0.05293258],[False],0.763265306122449,0.6379310344827587
#R01,Cancer,Cardiovascular,[2.63269464e-06],[ True],0.6282051282051282,0.8461538461538461
#R01,Cancer,Data types,[0.00176694],[False],0.6282051282051282,0.7223476297968398
#R01,Cancer,Electronic health record,[0.16977071],[False],0.6282051282051282,0.6847290640394089
#R01,Cancer,Endocrine,[0.0264006],[False],0.6282051282051282,0.7284768211920529
#R01,Cancer,Environmental health,[4.64837159e-05],[ True],0.6282051282051282,0.813953488372093
#R01,Cancer,Genetics,[5.77525339e-05],[ True],0.6282051282051282,0.7251602564102564
#R01,Cancer,Hepatic,[0.5696178],[False],0.6282051282051282,0.6632653061224489
