Cluster,Size,Total,Citations,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,Bounds,Bounds,Score,Centroids
0,106,37636920,7143.0,237,189.78704952477514,3432316.1872732425,1072926,0.06462110465996047,0.03627262749663902,0.09296958182328192,0.21428234912247307,"['crc', 'screening', 'colorectal', 'colorectal cancer', 'cancer', 'intervention', 'risk', 'cancer screening', 'genetic', 'americans']"
1,359,186978833,129775.0,2220,694.0625199003141,20928257.531422425,8397440,0.08677313589651088,0.05108342115649671,0.12246285063652505,0.045285438615541365,"['genetic', 'genes', 'gene', 'variants', 'genome', 'disease', 'expression', 'gwas', 'aim', 'risk']"
2,221,197165992,72955.0,1844,370.0181723022498,101236904.48324592,33018176,0.3897643133454057,0.32360902519639234,0.455919601494419,0.17910809522443133,"['ad', 'alzheimer', 'alzheimer disease', 'disease', 'dementia', 'cognitive', 'brain', 'biomarkers', 'imaging', 'risk']"
3,265,115849824,51547.0,1433,444.9467268936032,69003926.1333841,21969584,0.5303648280294001,0.46742061332734014,0.59330904273146,0.016802569991490764,"['imaging', 'stroke', 'mri', 'ct', 'image', 'motion', 'patients', 'radiation', 'mr', 'cardiac']"
4,135,52448652,8702.0,381,165.91465496577493,15890601.079288084,5284552,0.27821868744745987,0.2179985070769782,0.3384388678179415,0.251500134279626,"['hiv', 'infection', 'testing', 'risk', 'men', 'care', 'social', 'drug', 'behaviors', 'prevention']"
5,470,182033839,78105.0,2507,429.06857554105636,66185061.847350605,29946673,0.3422381041594143,0.2979152588880793,0.3865609494307493,0.007934362687050379,"['care', 'risk', 'patients', 'ehr', 'patient', 'outcomes', 'electronic', 'hf', 'older', 'quality']"
6,274,120440023,100517.0,2503,834.5813749969144,40397919.823057406,20176265,0.29539002322499175,0.25917086033125686,0.33160918611872664,0.024403946849404664,"['brain', 'imaging', 'mri', 'cognitive', 'neural', 'functional', 'fmri', 'connectivity', 'activity', 'learning']"
7,150,56604508,44405.0,818,784.478154990765,12601369.722859439,5557999,0.20152629886907084,0.14929036140214114,0.25376223633600054,0.08015991144654375,"['protein', 'ms', 'proteins', 'interactions', 'binding', 'sequence', 'structure', 'disease', 'structural', 'mass']"
8,37,11850785,574.0,67,48.43560996170296,1978455.3542901985,1871121,0.14897172487030844,0.0960305040385511,0.20191294570206578,0.10068068416531069,"['ultrasound', 'breast', 'benign', 'images', 'biopsies', 'nodules', 'digital', 'image', 'biopsy', 'computer']"
9,73,23755934,3789.0,197,159.49699136224237,5806496.440659344,2633125,0.22428431884784042,0.189187682393649,0.2593809553020318,0.23420044150906316,"['speech', 'language', 'communication', 'motor', 'disorder', 'impairment', 'individuals', 'processing', 'assessment', 'psychosis']"
10,144,53091504,12295.0,429,231.5813091299881,4334534.835786298,2157582,0.05406702018619979,0.03369875383939147,0.07443528653300811,0.08622224838205589,"['cad', 'detection', 'lesions', 'radiologists', 'computer', 'nodules', 'images', 'cancer', 'ct', 'lung']"
11,304,110638523,25116.0,937,227.0095380792457,47455276.37277616,28557491,0.38323576823659466,0.3466541904163254,0.41981734605686394,0.0016829491221101668,"['disorders', 'cognitive', 'neural', 'disorder', 'mental', 'sleep', 'symptoms', 'depression', 'behavioral', 'adhd']"
12,118,71026299,19818.0,331,279.02340793513685,24956819.99592028,7487660,0.29032030875624887,0.23958005010489086,0.3410605674076069,0.15689607235253614,"['asd', 'autism', 'children', 'behavioral', 'adhd', 'brain', 'connectivity', 'disorder', 'infants', 'early']"
13,203,98564388,14756.0,685,149.70924387010857,26319313.869008295,10008853,0.23796549426757432,0.19488725386358438,0.2810437346715643,0.05811337251894843,"['drug', 'compounds', 'drugs', 'drug discovery', 'discovery', 'models', 'novel', 'computational', 'effects', 'screening']"
14,151,39989207,11796.0,503,294.9795928686458,9270310.419760404,2369796,0.19520015800107623,0.167603927423112,0.22279638857904047,0.05260953180233818,"['dr', 'image', 'diabetic', 'patients', 'disease', 'analysis', 'medical', 'training', 'images', 'award']"
15,104,32067033,8053.0,308,251.13018719256002,3911497.911847084,2426226,0.102124976969545,0.04175161853947681,0.1624983353996132,0.18906923167097525,"['alcohol', 'fasd', 'prenatal', 'exposure', 'fetal', 'brain', 'consortium', 'spectrum', 'projects', 'children']"
16,53,23585822,6606.0,140,280.083517971093,8876998.660338013,2316373,0.3238710558300069,0.24699495785489717,0.40074715380511666,0.28171247423985357,"['pain', 'treatment', 'patients', 'chronic', 'brain', 'self', 'treatments', 'management', 'fmri', 'non']"
17,274,120464388,57514.0,2075,477.4357048989449,28702075.44498743,18131006,0.21639849102848221,0.1788154428398481,0.2539815392171163,0.0030481539734380017,"['disease', 'treatment', 'patients', 'biomarkers', 'biomarker', 'response', 'early', 'infection', 'pd', 'methods']"
18,102,35160490,9762.0,257,277.641181906168,2929639.5208103796,3947572,0.05554885899062894,0.011738962455554343,0.09935875552570353,0.22027192673565732,"['prostate', 'prostate cancer', 'cancer', 'men', 'mri', 'imaging', 'risk', 'biopsy', 'tumor', 'mr']"
19,329,159691644,172281.0,2682,1078.8354085702817,46036993.21841149,15627585,0.2704702871536985,0.22335867869555906,0.3175818956118379,0.021624555814370075,"['cancer', 'tumor', 'tumors', 'cell', 'lung', 'patients', 'treatment', 'cancers', 'lung cancer', 'risk']"
20,617,254538831,97816.0,3680,384.28714242032487,150692955.00708687,59925138,0.5793862070698281,0.47358463617606694,0.6851877779635893,-0.009449148726254205,"['learning', 'patient', 'patients', 'machine', 'medical', 'sepsis', 'machine learning', 'care', 'detection', 'methods']"
21,159,70964954,15850.0,418,223.34968328169424,22552937.607330497,11963740,0.2803222014629442,0.25253475883950605,0.3081096440863823,0.03202764057093676,"['children', 'child', 'pediatric', 'language', 'autism', 'early', 'development', 'care', 'childhood', 'disorders']"
22,54,19983367,21668.0,502,1084.3017595583367,8217657.867877169,2262439,0.501077009129079,0.30325588046601937,0.6988981377921387,0.2754106859425732,"['glaucoma', 'visual', 'progression', 'optical', 'field', 'structural', 'loss', 'eye', 'detection', 'change']"
