Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
0,208,63394446,22848.0,0.144,0.45966666666666667,0.4366443946219818,0.48268893871135155,750,360.41012173211516,5904749.739711999,4428472,0.06953639366450186,0.04691292786339527,0.09215985946560845,0.1437940213242258,"['breast', 'breast cancer', 'cancer', 'women', 'risk', 'mammography', 'cancer risk', 'screening', 'imaging', 'detection']"
1,486,228896216,102671.0,0.16997277323998444,0.4808440295604823,0.4680028221620482,0.49368523695891636,2571,448.54826258901545,71304804.01265748,31971198,0.2661539223596109,0.24453512505094654,0.2877727196682752,0.027620881444407174,"['brain', 'asd', 'autism', 'neural', 'children', 'cognitive', 'disorders', 'adhd', 'functional', 'connectivity']"
2,345,128166772,11553.0,0.056338028169014086,0.3126760563380282,0.29025564160073397,0.3350964710753224,639,90.14036805108894,49114845.59068369,17599866,0.3771542409052076,0.31409252990940006,0.44021595190101515,-0.0069536464471562035,"['software', 'disease', 'pd', 'phase', 'automated', 'diagnostic', 'learning', 'diagnosis', 'analysis', 'diseases']"
3,290,118072219,46652.0,0.17470760233918128,0.4925804093567251,0.47531070365460276,0.5098501150588475,1368,395.1141123213751,21256917.311003406,14522193,0.16947537474896746,0.12368481118290572,0.2152659383150292,0.01521762861500048,"['care', 'patients', 'patient', 'intervention', 'older', 'quality', 'outcomes', 'adults', 'older adults', 'medical']"
4,127,52471067,15194.0,0.12064965197215777,0.4255220417633411,0.394421539106165,0.45662254442051714,431,289.56910672313944,20737024.074380565,6859590,0.3915300828672354,0.2895380975501959,0.4935220681842749,0.0991571936186643,"['lung', 'lung cancer', 'cancer', 'pulmonary', 'ct', 'nodules', 'screening', 'disease', 'patients', 'cancer screening']"
5,55,24598039,6967.0,0.22377622377622378,0.5265734265734265,0.47049395157352686,0.5826529015733262,143,283.23396023561065,8871431.327488517,2316373,0.3088253125464319,0.24822779853186266,0.36942282656100117,0.27081107366480667,"['pain', 'treatment', 'patients', 'chronic', 'brain', 'self', 'treatments', 'social', 'management', 'drug']"
6,135,51311673,52954.0,0.009685230024213076,0.12602905569007264,0.11372046409203532,0.13833764728810996,826,1032.0068885690007,14120774.205151118,6337555,0.27257576251519916,0.18829914136726073,0.3568523836631376,0.10715653125514793,"['protein', 'proteins', 'binding', 'interactions', 'structure', 'function', 'sequence', 'human', 'computational', 'experimental']"
7,629,250647378,109064.0,0.11700021992522543,0.4093908071255773,0.399962241920636,0.4188193723305186,4547,435.1292276434665,145330637.32672155,66482897,0.509551387114571,0.4553631036684734,0.5637396705606688,-0.010643419477402445,"['patients', 'dr', 'disease', 'risk', 'children', 'early', 'treatment', 'training', 'learning', 'blood']"
8,259,113563649,188396.0,0.08990536277602523,0.38704652996845423,0.37498382657429513,0.39910923336261334,2536,1658.9463411835243,41869615.17877683,9171128,0.36977528304448104,0.28948389784871953,0.45006666824024255,0.02114168036788457,"['cancer', 'colorectal', 'screening', 'colorectal cancer', 'cancer screening', 'risk', 'detection', 'patients', 'treatment', 'women']"
9,212,182216161,78292.0,0.19410456062291434,0.4738876529477197,0.4580603142731457,0.48971499162229365,1798,429.6655113922634,92331707.22825281,32093433,0.3856158389981655,0.31924619301958745,0.4519854849767435,0.17717308416758007,"['ad', 'alzheimer', 'alzheimer disease', 'disease', 'cognitive', 'dementia', 'brain', 'biomarkers', 'imaging', 'risk']"
