Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Description,Category,Centroids
39,99,35188778,23556,0.10515873,0.374702381,0.346680496,0.402724266,504,669.4179605,5579094.097,4706789,0.138199726,0.091705611,0.184693842,0.072122641,Obesity,Diet/Exericse,"['shape', 'obesity', 'body', '3d', 'childhood', 'risk', 'factors', 'models', 'model', 'parameters', 'analysis', 'assessment', 'metabolic', 'visual', 'methods']"
51,154,60416597,11685,0.122538293,0.469912473,0.441847288,0.497977657,457,193.4071196,21677527.15,11707702,0.339681813,0.286552695,0.392810932,0.038217699,Physical activity,Diet/Exericse,"['activity', 'physical', 'home', 'activities', 'living', 'aging', 'daily', 'time', 'assessment', 'patterns', 'intervention', 'behavior', 'metabolic', 'functional', 'monitoring']"
59,178,111474971,62282,0.104189044,0.34726101,0.325995104,0.368526916,931,558.7083759,53609954.36,25359236,0.391066731,0.328715441,0.453418021,0.042827359,Microbiome,Diet/Exericse,"['microbiome', 'host', 'human', 'infection', 'computational', 'interactions', 'immune', 'disease', 'species', 'biology', 'models', 'understanding', 'community', 'novel', 'approaches']"
21,153,60728263,10134,0.111517367,0.402102377,0.37513634,0.429068413,547,166.8745243,14208483.31,6579712,0.223053556,0.174284554,0.271822557,0.040430917,Clinical decision support,Electronic health record,"['decision', 'decision support', 'decision making', 'support', 'making', 'patient', 'patients', 'systems', 'care', 'time', 'medical', 'real', 'tool', 'cancer', 'real time']"
25,134,53924767,7235,0.053763441,0.365806452,0.339259921,0.392352982,465,134.1684054,7903029.36,2600999,0.123303086,0.094198831,0.15240734,0.123018698,Natural language processing,Electronic health record,"['nlp', 'text', 'language', 'natural language', 'language processing', 'natural', 'processing', 'information', 'electronic', 'records', 'medical', 'ehr', 'reports', 'surveillance', 'patient']"
53,105,61433738,19676,0.216637782,0.543327556,0.516874452,0.569780661,577,320.280039,9113098.531,2858811,0.123243023,0.081589685,0.164896361,0.100530637,Electronic medical record phenotyping,Electronic health record,"['emr', 'genomic', 'electronic', 'medicine', 'medical', 'genetic', 'care', 'phenotypes', 'network', 'ehr', 'healthcare', 'records', 'phenotype', 'discovery', 'genomics']"
5,380,180388132,114079,0.021008403,0.222689076,0.209824903,0.235553248,1428,632.4085667,56441359.7,42090964,0.29776831,0.2382663,0.35727032,0.043896809,Single-cell analysis,Experimental techniques,"['cell', 'cells', 'single cell', 'single', 'cellular', 'cell types', 'types', 'human', 'tissue', 'analysis', 'molecular', 'signaling', 'disease', 'immune', 'aim']"
15,417,126268589,158702,0.007111814,0.120367444,0.113516954,0.127217934,2531,1256.860485,16511735.39,10751543,0.117906981,0.070083117,0.165730846,0.097063603,Protein structure analysis,Experimental techniques,"['protein', 'proteins', 'structure', 'sequence', 'structures', 'function', 'binding', 'methods', 'structural', 'interactions', 'molecular', 'prediction', 'computational', 'biological', 'sequences']"
46,117,46860438,17511,0.068085106,0.265319149,0.237814498,0.2928238,470,373.6840872,6776493.67,6283201,0.121007003,0.045357712,0.196656295,0.157123792,Mass spectrometry,Experimental techniques,"['ms', 'mass', 'disease', 'biomarkers', 'protein', 'analysis', 'analytical', 'proteins', 'high', 'identification', 'patients', 'samples', 'methods', 'diagnosis', 'identify']"
0,336,165139909,107330,0.038901602,0.261372998,0.249659805,0.273086191,2185,649.933748,25436269.64,12214419,0.136165556,0.103718326,0.168612786,0.018531137,Developmental genomics,Genetics,"['gene', 'expression', 'genes', 'gene expression', 'human', 'genome', 'molecular', 'disease', 'cell', 'functional', 'networks', 'aim', 'regulation', 'models', 'biology']"
