Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
0,113,43044506,8649.0,0.11145510835913312,0.3987616099071207,0.36312468022908867,0.4343985395851527,323,200.93156604004238,0.0,17122377.169987384,10580844,0.34361930950036956,0.2991461358160552,0.3880924831846839,0.12855828217216664,"['sleep', 'obesity', 'body', 'risk', 'factors', 'behavior', 'shape', 'childhood', 'behaviors', 'study', 'disease', 'metabolic', 'aim', 'cardiovascular', 'brain']"
1,119,38931700,24526.0,0.11448834853090173,0.4095238095238095,0.38919000262427633,0.4298576164233427,987,629.9750588851758,150,8694180.319502676,4335023,0.17630991842222257,0.0891066780162272,0.26351315882821796,0.10742233727844237,"['big', 'big data', 'science', 'biomedical', 'training', 'brain', 'tools', 'datasets', 'methods', 'scientists', 'program', 'complex', 'computational', 'medicine', 'computing']"
2,246,100750220,40084.0,0.12216694306246545,0.43051409618573794,0.4157302987396865,0.4452978936317894,1809,397.855210638746,141,34720761.06944264,19686392,0.3045636365280024,0.2639782476434314,0.34514902541257336,0.03690382542855714,"['ehr', 'electronic', 'patient', 'electronic health', 'records', 'safety', 'care', 'patients', 'information', 'record', 'risk', 'healthcare', 'medical', 'methods', 'natural language']"
3,168,56603949,31635.0,0.05565529622980251,0.2884201077199282,0.26350924076682486,0.31333097467303156,557,558.8832680207524,0.0,12293356.302026538,7837335,0.2065190035435083,0.15919461651452205,0.25384339057249455,0.05198902135744408,"['neural', 'brain', 'activity', 'cortex', 'representation', 'information', 'cognitive', 'behavior', 'behavioral', 'fmri', 'processing', 'aim', 'understanding', 'statistical', 'human']"
4,299,244050417,78614.0,0.14102564102564102,0.41871381306865174,0.40541728848900244,0.43201033764830105,2418,322.1219654789609,8,140515092.21266052,54794875,0.43301114111245825,0.3785923881173529,0.4874298941075636,0.17556117041329997,"['ad', 'alzheimer', 'alzheimer disease', 'disease', 'dementia', 'cognitive', 'brain', 'risk', 'imaging', 'biomarkers', 'early', 'pathology', 'aging', 'aim', 'mri']"
5,300,156803902,144075.0,0.07930174563591022,0.2971820448877805,0.2838026216502953,0.3105614681252657,2005,918.8227981724586,14,11778166.42836267,10438354,0.04419857123677478,0.002774229416277446,0.08562291305727211,0.017766440573508124,"['biomedical', 'knowledge', 'information', 'molecular', 'computational', 'biological', 'database', 'systems', 'databases', 'literature', 'text', 'sources', 'biology', 'tools', 'methods']"
6,126,48864445,13658.0,0.07851239669421488,0.4462809917355372,0.419941812029333,0.4726201714417414,484,279.50793260825947,0.0,4633745.820686845,1802417,0.07204099042247863,0.04830888447070898,0.09577309637424829,0.11542219368423054,"['cad', 'lesions', 'detection', 'images', 'image', 'computer', 'cancer', 'diagnosis', 'imaging', 'performance', 'diagnostic', 'screening', 'accuracy', 'ct', 'improve']"
7,197,37443173,22514.0,0.1483050847457627,0.46721398305084744,0.44599487968277596,0.4884330864189189,944,601.2845118654875,78,10810045.276588771,4887454,0.2571413073291342,0.22844143842217,0.28584117623609845,0.06104676043650519,"['dr', 'training', 'career', 'patients', 'award', 'risk', 'independent', 'development', 'career development', 'program', 'disease', 'care', 'candidate', 'investigator', 'analysis']"
8,205,68109920,55218.0,0.013059701492537313,0.13120335820895523,0.11966376056960928,0.14274295584830118,1072,810.7189084937994,593,16951808.974768367,8808953,0.25078928244704185,0.1832439083533357,0.318334656540748,0.024907924062558467,"['binding', 'rna', 'structure', 'protein', 'molecules', 'structures', 'sites', 'proteins', 'molecular', 'function', 'small', 'dna', 'methods', 'computational', 'biological']"
9,177,52678053,12184.0,0.07423580786026202,0.37358078602620093,0.3467307543696321,0.4004308176827698,458,231.29176775003435,18,6874044.702396151,3284618,0.10849768658347014,0.07752176754754377,0.13947360561939653,0.12665964639562466,"['language', 'children', 'infants', 'acquisition', 'statistical', 'speech', 'input', 'disorders', 'development', 'patterns', 'proposed', 'processing', 'natural', 'impairment', 'mechanisms']"
10,139,60089885,11940.0,0.12168486739469579,0.40741029641185655,0.38229224791747246,0.43252834490624065,641,198.70232735509478,64,19312047.245165218,9115915,0.25990499744895534,0.21901495444876773,0.30079504044914296,0.1290568080714889,"['older', 'older adults', 'adults', 'aging', 'home', 'care', 'risk', 'intervention', 'chronic', 'age', 'support', 'patients', 'life', 'aim', 'physical']"
11,160,162783864,19544.0,0.23060796645702306,0.5036687631027253,0.47282455417147795,0.5345129720339727,477,120.06103995663845,6,77710702.88648306,7442877,0.36287619111291347,0.046648001638839975,0.679104380586987,0.2724885356924975,"['pain', 'chronic', 'treatment', 'patients', 'brain', 'care', 'opioid', 'management', 'treatments', 'low', 'effects', 'mechanisms', 'self', 'patient', 'assessment']"
12,194,113697039,88991.0,0.22245467224546722,0.5244769874476987,0.5069934077097039,0.5419605671856934,1434,782.7028811190062,141,16886798.992056575,12563952,0.12180994962761776,0.08432651914656093,0.1592933801086746,0.07237759484142967,"['variants', 'genetic', 'genes', 'gwas', 'disease', 'gene', 'genome', 'variation', 'aim', 'risk', 'functional', 'association', 'sequencing', 'identified', 'studies']"
13,184,67623471,55015.0,0.2763276327632763,0.5419441944194421,0.5213703253550124,0.5625180634838718,1111,813.5488934012276,0.0,18610179.115509987,10316348,0.24849220871417857,0.22421134749112442,0.2727730699372327,0.034721806699203585,"['tumor', 'imaging', 'treatment', 'image', 'cancer', 'tissue', 'tumors', 'quantitative', 'response', 'mri', 'brain', 'patients', 'features', 'therapy', 'spatial']"
14,481,217237867,174265.0,0.09980962741365243,0.37719608376393793,0.3668281614135177,0.38756400611435815,3677,802.1851917741395,1,36163351.72874443,23691882,0.1457958235454662,0.11659356993853928,0.1749980771523931,-0.006041002802790642,"['genetic', 'genes', 'gene', 'methods', 'genome', 'methylation', 'statistical', 'genomic', 'analysis', 'disease', 'dna', 'aim', 'studies', 'diseases', 'risk']"
15,96,38110546,16914.0,0.12576687116564417,0.4343558282208589,0.39948873219622444,0.46922292424549333,326,443.8141610461314,39,16230424.192104474,5440839,0.34460162505352915,0.2856334837501564,0.4035697663569019,0.08030890196468474,"['memory', 'cognitive', 'neural', 'brain', 'working', 'activity', 'mechanisms', 'task', 'circuit', 'disorders', 'understanding', 'behavior', 'behavioral', 'systems', 'deficits']"
