Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Citations per $1mil funding per year,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Centroids
0,306,122584158,12183.0,0.07368421052631578,0.3448684210526316,0.3229606785195379,0.3667761635857253,760,99.38478347259195,3187,0.03118443158851332,60606465.1814059,27286636,0.4391362846441091,0.38982666949387595,0.4884458997943422,-0.0022752233538565767,"['behavioral', 'behavior', 'mental', 'mobile', 'activity', 'physical', 'depression', 'mental health', 'self', 'behaviors', 'youth', 'time', 'interventions', 'symptoms', 'risk']"
1,546,256245587,64448.0,0.10964408725602756,0.4071039035591274,0.3964647331718125,0.4177430739464423,3484,251.5087215921498,14931,0.016844733882000522,94678763.55679217,47335566,0.32762031229383415,0.285840655793232,0.3693999687944363,-0.0025678505001692545,"['patients', 'patient', 'treatment', 'care', 'risk', 'decision', 'outcomes', 'ehr', 'models', 'hospital', 'time', 'medical', 'prediction', 'electronic', 'support']"
2,232,103158486,21168.0,0.06756756756756757,0.35757722007722004,0.33925220500068004,0.37590223515376003,1036,205.1988238757207,4268,0.048078449830300074,34313326.04830003,15555825,0.28955018577999375,0.2296369149382619,0.3494634566217256,0.23566649749570642,"['hiv', 'infection', 'risk', 'associated', 'study', 'patients', 'prevention', 'therapy', 'cells', 'brain', 'cohort', 'treatment', 'care', 'individuals', 'living']"
3,256,96060077,72099.0,0.25701239399869535,0.5382583170254402,0.521057570855208,0.5554590631956725,1533,750.5615470202049,9606,0.07813466031857223,26923510.711654622,24737629,0.2616800425586827,0.22126597785396518,0.30209410726340025,0.023631607177693754,"['tumor', 'imaging', 'mri', 'radiation', 'treatment', 'tumors', 'image', 'cancer', 'planning', 'therapy', 'mr', 'brain', 'tissue', 'ct', 'dose']"
4,34,10934465,15061.0,0.010752688172043012,0.17222222222222222,0.14802969197718,0.19641475246726445,279,1377.3879197564763,2450,0.5621991509210107,89950.65885560734,249000,-0.1286049500337151,-0.25424741193097267,-0.0029624881364575806,0.2500304661811246,"['abstract', 'available', 'structure', 'analysis', 'foundation', 'model', 'center', 'monitor', 'response', 'blood', 'context', 'artificial intelligence', '3d', 'intelligence', 'invasive']"
5,229,68160591,73929.0,0.00904977375565611,0.1120663650075415,0.10300398255273342,0.12112874746234957,1326,1084.6296799275112,13181,0.0822873590719605,9630654.589018581,9745415,0.13165544737463936,0.07432258824257712,0.1889883065067016,-0.00044952517074649517,"['proteins', 'binding', 'protein', 'structure', 'structures', 'methods', 'mutations', 'molecular', 'structural', 'function', 'molecules', 'sites', 'computational', 'biological', 'sequence']"
6,150,74470660,126400.0,0.1928270042194093,0.5103586497890296,0.4970960632077502,0.523621236370309,2370,1697.3127403463322,15455,0.10982288840804479,51692390.10482901,27835771,0.532210279604368,0.4939332007978351,0.5704873584109008,0.03320906214270597,"['cognitive', 'aging', 'brain', 'dementia', 'pd', 'alzheimer', 'age', 'alzheimer disease', 'related', 'disease', 'attention', 'memory', 'impairment', 'life', 'aim']"
7,213,106923372,95891.0,0.01419698314108252,0.18864241348713398,0.17506979238055362,0.20221503459371434,1127,896.819827193628,8329,0.10767436993560188,18652965.507073965,7848003,0.15696205910182515,0.10146705350646451,0.21245706469718578,0.048486223940685136,"['regulatory', 'gene', 'genome', 'genes', 'transcription', 'regulation', 'human', 'elements', 'binding', 'cell', 'expression', 'sites', 'dna', 'sequence', 'species']"
8,283,111523862,27767.0,0.09377817853922453,0.39048692515779976,0.3721612775211063,0.40881257279449323,1109,248.97810658673208,8719,0.028555809907871554,8700458.052139154,4849526,0.048625892488458056,0.03159121556717551,0.0656605694097406,0.04359331100368854,"['nlp', 'natural language', 'language', 'text', 'language processing', 'information', 'medical', 'natural', 'electronic', 'processing', 'patient', 'records', 'ehr', 'surveillance', 'record']"
9,151,54979109,17191.0,0.027538726333907058,0.20912220309810672,0.18906304106104377,0.22918136513516968,581,312.68240451113894,2925,0.10689996735423554,25660780.468636073,13133857,0.4420938271786591,0.3452728967733434,0.5389147575839748,0.028457009995831922,"['imaging', 'tissue', 'resolution', 'image', 'high', 'cells', 'images', 'cell', 'segmentation', '3d', 'tissues', 'spatial', 'cellular', 'development', 'analysis']"
