Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Citations per thousand dollars of funding per year,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Description,Category,Centroids,%R01,%U01,%R44,%U24,%R21,%U54
0,157,65152869,24584.0,0.007259528130671506,0.16007259528130674,0.14342575204096866,0.17671943852164482,551,377.3279730782078,2575,0.00014653513517600303,15837115.990655424,10641948,0.2192609741101586,0.15741953595344219,0.28110241226687505,0.03894508039752187, , ,"['compound', 'rna', 'drug', 'drug discovery', 'discovery', 'structure', 'molecule', 'model', 'target', 'therapeutic', 'computational', 'screening', 'lead', 'cell', 'assay']",0.3503184713375796,0.0,0.08280254777070063,0.0,0.08280254777070063,0.0
1,129,73732621,7220.0,0.12217194570135746,0.4401583710407239,0.40983260018327317,0.47048414189817467,442,97.92138000899222,1239,7.903259080628913e-05,46080053.51836935,10593367,0.4755042323539385,0.4456967302761609,0.5053117344317161,0.17716253100970675, , ,"['stroke', 'recovery', 'patient', 'rehabilitation', 'aphasia', 'risk', 'treatment', 'brain', 'language', 'cause', 'imaging', 'disability', 'motor', 'acute', 'therapy']",0.49612403100775193,0.0,0.0,0.0,0.08527131782945736,0.0
2,383,235961908,262660.0,0.09003291020216267,0.3760225669957687,0.36667998101967686,0.3853651529718605,4254,1113.1457709691008,27030,4.1181863520869424e-05,67919491.9986546,23366563,0.259380559044994,0.2202185409028335,0.29854257718715455,0.01835630927497094, , ,"['cancer', 'tumor', 'patient', 'cell', 'melanoma', 'mutation', 'analysis', 'treatment', 'molecular', 'gene', 'model', 'tissue', 'therapy', 'computational', 'therapeutic']",0.2950391644908616,0.09921671018276762,0.013054830287206266,0.15404699738903394,0.06788511749347259,0.04960835509138381
3,49,16404880,3499.0,0.02,0.31325,0.27450594351149943,0.3519940564885005,200,213.2901916990554,1396,0.00015278667027152966,1208786.5056925137,447979,0.04208630861226114,0.004640591595083433,0.07953202562943884,0.22483830075790212, , ,"['facial', 'expression', 'emotion', 'face', 'video', 'child', 'cue', 'social', 'image', 'hypothesis', 'analysis', 'emotional', 'recognition', 'surgery', 'head']",0.7755102040816326,0.02040816326530612,0.0,0.0,0.04081632653061224,0.0
4,202,71415517,62599.0,0.21346595256312165,0.5334353481254782,0.5156823883612743,0.5511883078896821,1307,876.5461993364831,6782,0.00012924597454091466,31439296.80279047,16857786,0.38277591759626683,0.3553613408118479,0.4101904943806858,0.01894194292749296, , ,"['cognitive', 'memory', 'neural', 'brain', 'deficit', 'fmri', 'pd', 'mechanism', 'cognition', 'aging', 'control', 'decline', 'dementia', 'learning', 'impairment']",0.5544554455445545,0.0,0.009900990099009901,0.0,0.08415841584158416,0.0
5,61,44136921,35415.0,0.04666666666666667,0.2842222222222222,0.2587887986355052,0.30965564580893923,450,802.3894553043244,4157,0.00019302127863948148,2980203.6435330645,0,0.03250638020815649,-0.04836534257896874,0.11337810299528173,0.20149210826497235, , ,"['ontology', 'biomedical', 'annotation', 'support', 'user', 'community', 'gene', 'vaccine', 'tool', 'integration', 'collaborative', 'protein', 'organism', 'biological', 'genome']",0.6065573770491803,0.06557377049180328,0.03278688524590164,0.0,0.0,0.06557377049180328
6,123,55344170,23583.0,0.04449648711943794,0.21557377049180326,0.1900994209098099,0.2410481200737966,427,426.11534331439066,3455,0.00012333295030807255,28843218.55496688,7797028,0.4420921936272822,0.4143730282424723,0.4698113590120921,0.04798561793599759, , ,"['neuron', 'neuronal', 'activity', 'brain', 'function', 'cell', 'cortical', 'stimulus', 'neural', 'cortex', 'dynamic', 'response', 'sensory', 'neuroscience', 'behavior']",0.5528455284552846,0.04065040650406504,0.016260162601626018,0.0,0.08130081300813008,0.0
7,117,45965726,5788.0,0.19540229885057472,0.5047892720306514,0.4639335514259012,0.5456449926354016,261,125.91990823771607,899,0.00014006663875163077,21320739.049032036,10992318,0.4367232501558056,0.3324512135409462,0.540995286770665,0.0670688525856731, , ,"['depression', 'treatment', 'intervention', 'patient', 'response', 'individual', 'disorder', 'symptom', 'mobile', 'personalized', 'trial', 'mental', 'anxiety', 'mental health', 'treatment response']",0.3418803418803419,0.06837606837606838,0.09401709401709402,0.0,0.13675213675213677,0.0
8,212,134128128,28287.0,0.16044776119402984,0.49757462686567167,0.4751792972805059,0.5199699564508374,804,210.8953611877741,4560,4.624898271661713e-05,34730245.893116385,15591802,0.2339683630855091,0.16057781085470177,0.30735891531631643,0.030935638977635082, , ,"['child', 'asthma', 'sepsis', 'pediatric', 'reading', 'care', 'patient', 'early', 'outcome', 'risk', 'intervention', 'learning', 'hospital', 'childhood', 'mobile']",0.4386792452830189,0.04716981132075472,0.0047169811320754715,0.02358490566037736,0.09905660377358491,0.0
9,400,171605094,106784.0,0.03393501805054152,0.23061371841155234,0.2169509236419509,0.2442765131811538,1385,622.2659101250223,8869,7.016190214511471e-05,57766167.05790361,36494212,0.30857793577894893,0.2703270103790585,0.3468288611788394,0.049568226943615096, , ,"['cell', 'cell type', 'type', 'cellular', 'single cell', 'human', 'tissue', 'single', 'gene', 'stem', 'disease', 'molecular', 'analysis', 'differentiation', 'function']",0.4025,0.0425,0.0425,0.0125,0.0675,0.065
10,273,123060545,71188.0,0.05035405192761605,0.25295043273013373,0.237716097821515,0.2681847676387525,1271,578.479479348966,9181,6.300833017633875e-05,9391022.611547058,6890725,0.045520010491135396,0.006414300397274038,0.08462572058499676,0.012741399148497338, , ,"['biomedical', 'text', 'information', 'knowledge', 'literature', 'database', 'computational', 'language', 'review', 'extraction', 'processing', 'language processing', 'biomedical research', 'semantic', 'natural language']",0.5860805860805861,0.03663003663003663,0.014652014652014652,0.0,0.014652014652014652,0.08058608058608059
11,176,48691538,12730.0,0.0794392523364486,0.40478971962616817,0.3772613144136006,0.4323181248387357,428,261.44173141542586,3294,7.936907450377227e-05,5676862.865281839,2246466,0.0940579475344836,0.06292982206762346,0.12518607300134374,0.13128614999491123, , ,"['language', 'child', 'learning', 'word', 'infant', 'statistical learning', 'statistical', 'acquisition', 'linguistic', 'disorder', 'input', 'development', 'pattern', 'impairment', 'mechanism']",0.6193181818181818,0.0,0.028409090909090908,0.0,0.045454545454545456,0.0
12,420,128437098,157484.0,0.00901607212857703,0.13259506076048608,0.12524921604061506,0.1399409054803571,2551,1226.1566358342977,25628,4.784441375972755e-05,15803736.862807482,11830715,0.1078835157677334,0.06408854199534372,0.15167848954012308,0.0879538704332093, , ,"['protein', 'structure', 'sequence', 'protein structure', 'function', 'prediction', 'interaction', 'structural', 'binding', 'molecular', 'computational', 'model', 'biological', 'information', 'cell']",0.7119047619047619,0.023809523809523808,0.02857142857142857,0.014285714285714285,0.05476190476190476,0.011904761904761904
13,320,134076090,36798.0,0.11706464764123471,0.39140943506115317,0.3760079226151853,0.40681094750712105,1717,274.4560942969026,7795,3.520924878728706e-05,37989925.747512534,25674693,0.2615924078145156,0.21161576263066115,0.31156905299837,0.026222394917700332, , ,"['image', 'imaging', 'pet', 'image analysis', 'analysis', 'software', 'algorithm', 'ct', 'patient', 'technique', 'medical', 'digital', 'segmentation', 'automated', 'quantitative']",0.43125,0.021875,0.1,0.025,0.1625,0.0
14,232,108770924,78738.0,0.1144578313253012,0.40980589022757696,0.3933081367339098,0.42630364372124413,1494,723.8883067684523,8408,8.609518396389774e-05,21268640.24998204,14705922,0.16079230605708839,0.09830177500250123,0.22328283711167554,0.05382054724343349, , ,"['variant', 'genetic', 'variation', 'genome', 'disease', 'genomic', 'gene', 'human', 'genetic variant', 'sequencing', 'genetic variation', 'population', 'rare', 'trait', 'splicing']",0.4482758620689655,0.20689655172413793,0.008620689655172414,0.004310344827586207,0.017241379310344827,0.004310344827586207
15,351,128873167,41289.0,0.0726457399103139,0.3561434977578475,0.3379238663838512,0.3743631291318438,1115,320.3847702446856,8789,3.6452926413094284e-05,31979736.808389552,22568781,0.24868298878716388,0.19798350620121263,0.29938247137311513,0.0032793699121264233, , ,"['neural', 'motor', 'movement', 'control', 'brain', 'signal', 'activity', 'stimulation', 'learning', 'auditory', 'task', 'sensory', 'hand', 'cortex', 'model']",0.5698005698005698,0.04843304843304843,0.011396011396011397,0.0,0.07407407407407407,0.0
16,288,238196308,116198.0,0.1578764746703678,0.4509368494101319,0.43871202923066255,0.46316166958960125,2882,487.82452161265235,15744,3.098478922844591e-05,129156979.43790706,56839416,0.40968357462883354,0.35064665384985316,0.4687204954078139,0.14705368739110675, , ,"['ad', 'alzheimer', 'disease', 'alzheimer disease', 'dementia', 'cognitive', 'disease ad', 'alzheimer s', 'brain', 's disease', 's', 'biomarkers', 'imaging', 'risk', 'pathology']",0.5208333333333334,0.03125,0.034722222222222224,0.010416666666666666,0.0625,0.013888888888888888
17,80,36266263,11316.0,0.14195583596214512,0.4271293375394322,0.390618201569443,0.46364047350942145,317,312.0255318283001,1951,0.00015993107730820095,11399542.817941392,8679436,0.31897902434157477,0.22418088730505076,0.4137771613780988,0.24490953222832257, , ,"['seizure', 'epilepsy', 'eeg', 'patient', 'brain', 'activity', 'recording', 'network', 'detection', 'neural', 'stimulation', 'device', 'surgical', 'onset', 'surgery']",0.6125,0.025,0.0625,0.0,0.05,0.0125
