Description,Number of grants,Application category,Centroids,"Total Award, 2000-2020",Total citations,Silhouette score
 ,148, ,"['pain', 'chronic', 'patient', 'treatment', 'care', 'opioid', 'assessment', 'low', 'management', 'brain', 'mechanism', 'condition', 'intervention', 'acute', 'development']",157259919,6821.0,0.26223904319788305
 ,246, ,"['ad', 'alzheimer', 'disease', 'alzheimer disease', 'dementia', 'disease ad', 'cognitive', 'brain', 'imaging', 'alzheimer s', 'biomarkers', 'risk', 's disease', 'preclinical', 'change']",215591436,42130.0,0.14647293606652284
 ,415, ,"['cancer', 'prostate', 'prostate cancer', 'tumor', 'patient', 'cell', 'treatment', 'mutation', 'melanoma', 'tissue', 'analysis', 'biomarkers', 'gene', 'model', 'therapy']",214233121,187189.0,0.02770531544638611
 ,136, ,"['vision', 'user', 'device', 'computer', 'visual', 'computer vision', 'impaired', 'eye', 'people', 'sign', 'person', 'low', 'phone', 'environment', 'display']",45505007,283.0,0.0641973650440186
 ,378, ,"['biomedical', 'model', 'learning', 'software', 'computational', 'tool', 'approach', 'machine', 'knowledge', 'researcher', 'machine learning', 'science', 'modeling', 'analysis', 'sharing']",139213026,18846.0,-0.010468706417404104
 ,321, ,"['genetic', 'association', 'gwas', 'gene', 'risk', 'disease', 'variant', 'snp', 'susceptibility', 'phenotype', 'genetics', 'trait', 'complex', 'association study', 'analysis']",162859851,37246.0,0.021698364772497175
 ,165, ,"['interaction', 'binding', 'protein', 'receptor', 'network', 'molecular', 'computational', 'molecule', 'cellular', 'prediction', 'biological', 'process', 'human', 'model', 'motif']",79784312,6681.0,0.023849923004276706
 ,69, ,"['autism', 'adhd', 'brain', 'disorder', 'child', 'connectivity', 'asd', 'functional', 'behavioral', 'neurodevelopmental', 'cognitive', 'functional connectivity', 'infant', 'imaging', 'deficit']",38347364,18556.0,0.09243908396065365
 ,260, ,"['brain', 'neuroscience', 'imaging', 'tool', 'human', 'human brain', 'analysis', 'software', 'function', 'atlas', 'disorder', 'model', 'network', 'eeg', 'computational']",139868548,24058.0,0.02864413437249259
 ,203, ,"['regulatory', 'gene', 'chromatin', 'cell', 'genome', 'encode', 'regulation', 'element', 'human', 'gene regulation', 'transcription', 'expression', 'dna', 'sequence', 'gene expression']",126569273,1649.0,0.06705562111558093
 ,224, ,"['breast', 'breast cancer', 'cancer', 'woman', 'risk', 'tumor', 'imaging', 'screening', 'patient', 'biopsy', 'image', 'model', 'radiologist', 'detection', 'decision']",74183571,17902.0,0.13874815953606473
 ,339, ,"['nlp', 'text', 'language', 'natural language', 'language processing', 'information', 'natural', 'medical', 'processing', 'record', 'patient', 'electronic', 'medical record', 'note', 'biomedical']",138424209,11791.0,0.015266557596793955
 ,44, ,"['sepsis', 'patient', 'care', 'pediatric', 'hospital', 'organ', 'infection', 'early', 'risk', 'outcome', 'detection', 'death', 'mortality', 'child', 'electronic']",12956719,862.0,0.26761980831194326
 ,79, ,"['opioid', 'use disorder', 'treatment', 'risk', 'substance', 'disorder', 'patient', 'addiction', 'intervention', 'ed', 'drug', 'phase', 'relapse', 'death', 'phase ii']",30802653,4988.0,0.14013216898555647
 ,101, ,"['physical activity', 'activity', 'pa', 'physical', 'behavior', 'exercise', 'phone', 'pattern', 'intervention', 'energy', 'metabolic', 'child', 'intensity', 'estimate', 'youth']",45469176,118.0,0.14589236794208227
 ,421, ,"['imaging', 'image', 'mri', 'pet', 'radiation', 'patient', 'motion', 'ct', 'tissue', 'technique', 'reconstruction', 'mr', 'planning', 'resolution', 'medical']",209812448,14879.0,0.00936695010251539
 ,208, ,"['infection', 'antibiotic', 'microbiome', 'pathogen', 'bacterial', 'patient', 'immune', 'host', 'microbial', 'resistance', 'model', 'human', 'identify', 'sample', 'disease']",107632361,4170.0,0.023465326820632036
 ,505, ,"['neural', 'circuit', 'behavior', 'neuron', 'brain', 'behavioral', 'memory', 'activity', 'social', 'neural circuit', 'dynamic', 'model', 'disorder', 'learning', 'sensory']",256130295,40745.0,0.014168166635756395
