description,category,funding,size,centroids,score,total_citations,total_papers,caf,growth,apt
Cell signaling pathways,Biochemical analysis,"$36,077,544",117,"['binding', 'site', 'receptor', 'molecule', 'specificity', 'dna', 'regulatory', 'simulation', 'chemical', 'signaling', 'recognition', 'datasets', 'domain', 'interface', 'improvement']",0.151,8709.790303641468,1586,241.4186038728542,0.181 (0.132 - 0.230),0.368 (0.352 - 0.383)
Drug discovery,Biochemical analysis,"$84,737,388",156,"['compound', 'agent', 'product', 'molecule', 'chemical', 'assay', 'screening', 'active', 'vivo', 'spectrum', 'small', 'infection', 'candidate', 'required', 'increasing']",0.068,9852.111682058468,1932,116.26640748070342,0.115 (0.079 - 0.152),0.404 (0.390 - 0.419)
Mass spectroscopy,Biochemical analysis,"$46,167,945",145,"['mass', 'spectrum', 'characterization', 'sensitivity', 'chemical', 'classification', 'assay', 'molecule', 'lesion', 'breast', 'compare', 'marker', 'screening', 'capability', 'aid']",0.162,12418.894151822027,2042,268.9938690539947,0.077 (0.052 - 0.102),0.402 (0.388 - 0.417)
Other chemical compound characterization,Biochemical analysis,"$68,832,086",159,"['chemical', 'assay', 'environmental', 'molecule', 'capability', 'animal', 'compound', 'substance', 'variety', 'signaling', 'small', 'cellular', 'mass', 'property', 'specie']",0.078,13172.373781002807,2459,191.36967287324123,0.220 (0.166 - 0.275),0.377 (0.365 - 0.390)
Protein structure and binding prediction,Biochemical analysis,"$94,382,477",130,"['site', 'annotation', 'binding', 'specie', 'regulatory', 'element', 'location', 'capability', 'core', 'regulation', 'dna', 'access', 'basic', 'spectrum', 'global']",0.061,39314.26124989168,5975,416.54195248437566,0.054 (0.022 - 0.086),0.412 (0.403 - 0.420)
Small molecule interactions,Biochemical analysis,"$34,541,459",81,"['molecule', 'small', 'chemical', 'genetics', 'binding', 'immune', 'receptor', 'device', 'cellular', 'property', 'resolution', 'screening', 'candidate', 'produce', 'systematic']",0.111,6259.636626233484,1334,181.22096771400084,0.409 (0.256 - 0.562),0.337 (0.320 - 0.354)
Breast cancer,Cancer,"$97,856,805",297,"['breast', 'breast cancer', 'woman', 'tumor', 'biopsy', 'screening', 'lesion', 'receptor', 'decision support', 'early detection', 'stage', 'sensitivity', 'mass', 'positive', 'biomarker']",0.244,21005.59219060343,3828,214.65642773237315,0.130 (0.100 - 0.160),0.406 (0.396 - 0.416)
Other cancer,Cancer,"$165,458,242",375,"['tumor', 'progression', 'survival', 'normal', 'targeted', 'immune', 'vivo', 'mri', 'mutation', 'resistance', 'marker', 'heterogeneity', 'parameter', 'data analysis', 'signature']",0.141,33243.09788425265,5220,200.9153335755414,0.187 (0.167 - 0.207),0.436 (0.427 - 0.445)
Prostate cancer,Cancer,"$44,080,695",127,"['prostate', 'biopsy', 'tumor', 'mri', 'marker', 'progression', 'clinically', 'radiation', 'vivo', 'planning', 'breast', 'modality', 'screening', 'negative', 'active']",0.242,10050.455822969592,1849,228.00130131726806,0.111 (0.066 - 0.156),0.424 (0.410 - 0.439)
Cardiovascular disease,Cardiovascular,"$85,488,684",186,"['heart', 'stress', 'failure', 'cardiovascular', 'cardiac', 'physician', 'parameter', 'death', 'mortality', 'symptom', 'blood', 'candidate', 'clinically', 'hospital', 'ct']",0.048,19739.766399976193,2853,230.90502130055242,0.291 (0.232 - 0.351),0.430 (0.418 - 0.442)
Big data,Data types,"$47,965,538",135,"['big', 'big data', 'datasets', 'scientist', 'bioinformatics', 'genomics', 'data analysis', 'student', 'integration', 'initiative', 'fmri', 'precision', 'neuroscience', 'world', 'biomarker']",0.174,28504.609472063898,3874,594.2726937007127,0.199 (0.125 - 0.274),0.423 (0.413 - 0.433)
Motion tracking and artifact reduction,Data types,"$60,926,617",150,"['cardiac', 'heart', 'motion', 'event', 'score', 'failure', 'death', 'procedure', 'mri', 'cardiovascular', 'recording', 'flow', 'normal', 'radiation', 'shape']",0.108,12915.492927726746,1959,211.98440950244694,0.694 (0.569 - 0.819),0.413 (0.398 - 0.427)
