Mechanism,Number of awards,Value of awards,,,,
R01,7983,"$3,423,947,336",0.480064947,7983 (48.0%),0.477066867,"$3,423,947,336 (47.7%)"
R21,1137,"$239,977,819",0.068374526,1137 (6.8%),0.03343669,"$239,977,819 (3.3%)"
U01,800,"$579,492,289",0.048108726,800 (4.8%),0.080742063,"$579,492,289 (8.1%)"
R44,692,"$336,221,031",0.041614048,692 (4.2%),0.04684649,"$336,221,031 (4.7%)"
R43,683,"$108,573,518",0.041072825,683 (4.1%),0.015127811,"$108,573,518 (1.5%)"
K01,388,"$56,369,585",0.023332732,388 (2.3%),0.007854111,"$56,369,585 (0.8%)"
R03,338,"$31,824,822",0.020325937,338 (2.0%),0.004434229,"$31,824,822 (0.4%)"
F31,304,"$10,713,644",0.018281316,304 (1.8%),0.001492758,"$10,713,644 (0.1%)"
K23,303,"$52,314,972",0.01822118,303 (1.8%),0.007289172,"$52,314,972 (0.7%)"
F32,244,"$12,498,483",0.014673161,244 (1.5%),0.001741444,"$12,498,483 (0.2%)"
K99,233,"$24,872,177",0.014011666,233 (1.4%),0.003465501,"$24,872,177 (0.3%)"
U24,198,"$280,855,683",0.01190691,198 (1.2%),0.039132302,"$280,855,683 (3.9%)"
K08,191,"$30,773,785",0.011485958,191 (1.1%),0.004287786,"$30,773,785 (0.4%)"
R29,174,"$17,036,001",0.010463648,174 (1.0%),0.002373667,"$17,036,001 (0.2%)"
R00,145,"$34,140,613",0.008719707,145 (0.9%),0.004756894,"$34,140,613 (0.5%)"
R35,145,"$58,915,647",0.008719707,145 (0.9%),0.00820886,"$58,915,647 (0.8%)"
U54,138,"$175,716,122",0.008298755,138 (0.8%),0.024482952,"$175,716,122 (2.4%)"
K25,124,"$17,269,773",0.007456852,124 (0.7%),0.002406239,"$17,269,773 (0.2%)"
R25,112,"$21,175,028",0.006735222,112 (0.7%),0.002950368,"$21,175,028 (0.3%)"
P41,107,"$110,865,137",0.006434542,107 (0.6%),0.015447108,"$110,865,137 (1.5%)"
R41,102,"$20,396,225",0.006133863,102 (0.6%),0.002841855,"$20,396,225 (0.3%)"
R24,101,"$77,168,221",0.006073727,101 (0.6%),0.010752035,"$77,168,221 (1.1%)"
R56,97,"$57,798,150",0.005833183,97 (0.6%),0.008053156,"$57,798,150 (0.8%)"
F30,96,"$4,012,918",0.005773047,96 (0.6%),0.00055913,"$4,012,918 (0.1%)"
R33,93,"$39,243,519",0.005592639,93 (0.6%),0.005467894,"$39,243,519 (0.5%)"
N01,88,"$80,715,372",0.00529196,88 (0.5%),0.011246268,"$80,715,372 (1.1%)"
P50,85,"$151,986,482",0.005111552,85 (0.5%),0.021176644,"$151,986,482 (2.1%)"
R13,85,"$1,717,257",0.005111552,85 (0.5%),0.00023927,"$1,717,257 (0.0%)"
R42,68,"$39,316,463",0.004089242,68 (0.4%),0.005478058,"$39,316,463 (0.5%)"
K24,66,"$11,056,747",0.00396897,66 (0.4%),0.001540563,"$11,056,747 (0.2%)"
U41,65,"$141,444,144",0.003908834,65 (0.4%),0.019707755,"$141,444,144 (2.0%)"
P01,62,"$87,998,207",0.003728426,62 (0.4%),0.012261003,"$87,998,207 (1.2%)"
U19,59,"$150,388,741",0.003548019,59 (0.4%),0.020954027,"$150,388,741 (2.1%)"
