Mechanism,Number of awards,Value of awards
D43,1,73250
DP1,22,19838149
DP2,31,56396654
DP3,2,5024500
DP5,21,7630616
F30,96,4012918
F31,304,10713644
F32,244,12498483
F33,2,73995
F37,9,398860
F38,12,745217
F99,10,349828
G08,38,8234969
G13,3,224846
G20,1,500000
K00,9,652810
K01,388,56369585
K02,58,7779101
K04,17,1023966
K05,8,1370394
K07,56,7400376
K08,191,30773785
K11,4,301246
K12,7,2892835
K18,4,579270
K22,39,6061523
K23,303,52314972
K24,66,11056747
K25,124,17269773
K43,3,185322
K76,4,921902
K99,233,24872177
KL2,5,1972252
N01,88,80715372
N02,19,7311377
N03,16,7576588
N43,31,8758866
N44,4,2739641
OT2,14,12980385
OT3,10,7774024
P01,62,87998207
P20,22,17591775
P2C,2,1833600
P30,56,46616433
P41,107,110865137
P42,1,2414074
P50,85,151986482
P60,3,5428065
R00,145,34140613
R01,7983,3423947336
R03,338,31824822
R13,85,1717257
R15,50,17920677
R18,24,9205118
R21,1137,239977819
R23,7,359827
R24,101,77168221
R25,112,21175028
R29,174,17036001
R33,93,39243519
R34,39,9134051
R35,145,58915647
R36,9,412491
R37,39,14125679
R41,102,20396225
R42,68,39316463
R43,683,108573518
R44,692,336221031
R50,2,253333
R55,3,200000
R56,97,57798150
R61,28,37939177
R90,10,2398177
RC1,48,23291530
RC2,30,47746112
RF1,48,93352304
RL1,1,303654
RM1,5,7112351
S06,3,343511
S07,3,233689
S10,20,21646130
SB1,1,300000
SC1,15,4532625
SC2,10,1406895
SC3,8,592686
U01,800,579492289
U10,3,668360
U13,3,404893
U18,12,6419748
U19,59,150388741
U24,198,280855683
U2C,13,22804984
U34,2,718747
U41,65,141444144
U44,6,1967425
U54,138,175716122
UC2,1,1957980
UF1,1,2200000
UG1,15,28172619
UG3,23,10333760
UH2,32,12706050
UH3,32,24538922
UL1,15,19792963
UM1,7,9187868
Y01,11,3943597
