Description,Key words,Number of awards,Most frequent search terms (% of awards),,
Adolescent psychiatry,"['adolescent', 'substance', 'youth', 'mobile', 'symptom', 'child', 'alcohol', 'prevention', 'difference', 'consortium', 'developmental', 'career', 'family', 'social', 'skill']",155,'machine learning' (37.4%),'artificial intelligence' (7.1%),'natural language processing' (6.5%)
Adverse drug events/drug safety,"['safety', 'surveillance', 'event', 'adverse', 'medication', 'electronic', 'mortality', 'natural language', 'language processing', 'hospital', 'report', 'monitoring', 'healthcare', 'health care', 'temporal']",265,'natural language processing' (35.5%),'machine learning' (30.9%),'artificial intelligence' (6.0%)
Alcohol use,"['alcohol', 'exposure', 'child', 'spectrum', 'consortium', 'deficit', 'adolescent', 'youth', 'core', 'feedback', 'period', 'month', 'substance', 'prevention', 'site']",218,'machine learning' (29.4%),'expert system' (5.0%),'decision tree' (4.6%)
Alzheimer's disease,"['ad', 'alzheimer', 'alzheimer disease', 'dementia', 'aging', 'progression', 'pathology', 'longitudinal', 'neuroimaging', 'clinical trial', 'stage', 'mri', 'biomarker', 'impairment', 'participant']",321,'machine learning' (48.3%),'deep learning' (10.0%),'artificial intelligence' (4.0%)
Asthma,"['asthma', 'child', 'exposure', 'lung', 'chronic', 'candidate', 'immune', 'gene expression', 'pediatric', 'severe', 'environmental', 'variant', 'healthcare', 'neural network', 'school']",93,'machine learning' (37.6%),'natural language processing' (11.8%),'principal component analysis' (5.4%)
Autism spectrum disorder,"['asd', 'autism', 'child', 'connectivity', 'spectrum', 'social', 'developmental', 'infant', 'impairment', 'deficit', 'heterogeneity', 'core', 'mri', 'communication', 'longitudinal']",192,'machine learning' (23.4%),'support vector machine' (9.4%),'random forest' (6.8%)
Big data,"['big', 'big data', 'datasets', 'scientist', 'bioinformatics', 'genomics', 'data analysis', 'student', 'integration', 'initiative', 'fmri', 'precision', 'neuroscience', 'world', 'biomarker']",135,'machine learning' (60.0%),'natural language processing' (11.9%),'deep learning' (6.7%)
Breast cancer,"['breast', 'breast cancer', 'woman', 'tumor', 'biopsy', 'screening', 'lesion', 'receptor', 'decision support', 'early detection', 'stage', 'sensitivity', 'mass', 'positive', 'biomarker']",297,'machine learning' (27.6%),'artificial intelligence' (10.8%),'artificial neural network' (6.7%)
Cancer prognostication and treatment response prediction,"['tumor', 'progression', 'survival', 'normal', 'targeted', 'immune', 'vivo', 'mri', 'mutation', 'resistance', 'marker', 'heterogeneity', 'parameter', 'data analysis', 'signature']",375,'machine learning' (36.0%),'hierarchical clustering' (4.0%),'deep learning' (3.7%)
Cardiovascular disease,"['heart', 'stress', 'failure', 'cardiovascular', 'cardiac', 'physician', 'parameter', 'death', 'mortality', 'symptom', 'blood', 'candidate', 'clinically', 'hospital', 'ct']",186,'machine learning' (36.6%),'deep learning' (5.9%),'natural language processing' (5.9%)
Cell signaling pathways,"['binding', 'site', 'receptor', 'molecule', 'specificity', 'dna', 'regulatory', 'simulation', 'chemical', 'signaling', 'recognition', 'datasets', 'domain', 'interface', 'improvement']",117,'machine learning' (24.8%),'deep learning' (5.1%),'hidden markov model' (2.6%)
Centers for translational and computational research,"['core', 'informatics', 'infrastructure', 'continue', 'consortium', 'neuroscience', 'service', 'collaborative', 'bioinformatics', 'access', 'domain', 'alcohol', 'capability', 'genetics', 'scientist']",144,'machine learning' (21.5%),'natural language processing' (9.0%),'decision tree' (6.2%)
Clinically significant genetic variation,"['variant', 'variation', 'sequencing', 'trait', 'genetics', 'causal', 'mutation', 'dna', 'genomics', 'regulatory', 'statistical method', 'interpretation', 'gene expression', 'mapping', 'influence']",236,'machine learning' (27.5%),'hidden markov model' (5.5%),'deep learning' (4.2%)
Deep learning,"['lesion', 'deep', 'deep learning', 'mri', 'progression', 'biopsy', 'interpretation', 'digital', 'neural network', 'classification', 'pathology', 'learning algorithm', 'learn', 'longitudinal', 'learning method']",221,'deep learning' (63.8%),'machine learning' (33.5%),'artificial intelligence' (9.0%)
Depression,"['depression', 'symptom', 'circuit', 'personalized', 'mobile', 'fmri', 'sensor', 'negative', 'positive', 'construct', 'mental', 'participant', 'adolescent', 'collected', 'mental health']",104,'machine learning' (48.1%),'artificial intelligence' (8.7%),'expert system' (3.8%)
Diabetes,"['diabetes', 'chronic', 'physical activity', 'clinical trial', 'achieve', 'american', 'decision support', 'consortium', 'prevention', 'body', 'people', 'blood', 'physical', 'aid', 'risk factor']",114,'machine learning' (20.2%),'natural language processing' (8.8%),'artificial intelligence' (4.4%)
Drug discovery,"['compound', 'agent', 'product', 'molecule', 'chemical', 'assay', 'screening', 'active', 'vivo', 'spectrum', 'small', 'infection', 'candidate', 'required', 'increasing']",156,'machine learning' (26.3%),'expert system' (6.4%),'random forest' (5.1%)
EEG,"['eeg', 'recording', 'neuroscience', 'sleep', 'event', 'monitoring', 'reliable', 'resolution', 'fmri', 'cortical', 'spatial', 'period', 'mri', 'collected', 'hospital']",104,'machine learning' (30.8%),'support vector machine' (7.7%),'expert system' (5.8%)
Electronic health record,"['ehr', 'electronic', 'health record', 'electronic health', 'informatics', 'healthcare', 'natural language', 'clinical data', 'clinician', 'decision support', 'provider', 'language processing', 'physician', 'nlp', 'hospital']",296,'natural language processing' (39.5%),'machine learning' (32.4%),'deep learning' (3.7%)
