Description,Title,Activity,Organization,Year
Adolescent psychiatry,ABCD-USA Consortium:Research Project,U01,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2018
Adolescent psychiatry,ABCD-USA Consortium: Research Project,U01,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2019
Adolescent psychiatry,Using Machine Learning Approaches to Examine Emotion-Related Brain Activity and Substance Use Among Adolescents,F31,GEORGE MASON UNIVERSITY,2020
Adolescent psychiatry,The Gist of Hot and Cold Cognition in Adolescents Risky Decision Making,R01,CORNELL UNIVERSITY,2013
Adolescent psychiatry,ABCD-USA Consortium: Data Analysis Center,U24,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2019
Adverse drug events/drug safety,Mapping the Drugome: predictive network approaches to drug safety surveillance,R00,BOSTON CHILDREN'S HOSPITAL,2014
Adverse drug events/drug safety,Coupling Results Data from ClinicalTrials.gov and Bibliographic Databases to Accelerate Evidence Synthesis,R01,BOSTON CHILDREN'S HOSPITAL,2020
Adverse drug events/drug safety,Mining health data for drug safety profiles,R01,STANFORD UNIVERSITY,2017
Adverse drug events/drug safety,"Distributed, Collaborative Intelligent Agents for Proactive Post-Marketing Drug S",R21,WAYNE STATE UNIVERSITY,2009
Adverse drug events/drug safety,Preclinical predictive markers of post-approval drug safety,R01,BOSTON CHILDREN'S HOSPITAL,2011
Alcohol use,How Cannabis Use Affects Alcohol Treatment Outcomes,R21,PUBLIC HEALTH INSTITUTE,2016
Alcohol use,: Complex systems analysis of the impact of alcohol on bone in non-human primates,R01,OREGON STATE UNIVERSITY,2020
Alcohol use,Alcohol Misuse: An Independent Risk Factor that Increases the Incidence and Severity of COVID-19,R24,RUSH UNIVERSITY MEDICAL CENTER,2020
Alcohol use,"Ambulatory assessment of alcohol use, mood dysregulation, and alcohol craving",R21,UNIVERSITY OF MISSOURI-COLUMBIA,2014
Alcohol use,Estimating BrAC/BAC from Transdermal Alcohol: Combining First-Principles Physiological Models with Machine-Learning to Create Software to Optimally Process and Quantitatively Interpret Biosensor Data,R01,UNIVERSITY OF SOUTHERN CALIFORNIA,2020
Alzheimer's disease,Computational Prediction and Functional Validation of Novel Risk Loci of Alzheimer's Disease,R56,EMORY UNIVERSITY,2018
Alzheimer's disease,Circadian Organization and Disorder in Alzheimer's Disease,R01,UNIVERSITY OF PENNSYLVANIA,2020
Alzheimer's disease,Using connectomics to characterize risk for Alzheimer's Disease,R01,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2020
Alzheimer's disease,Drug repurposing for Alzheimer's disease using structural systems pharmacology.,R01,HUNTER COLLEGE,2020
Alzheimer's disease,DISCOURSE AND EVERYDAY REMEMBERING,R01,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,1990
Asthma,Nasal biomarkers of asthma,R01,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2019
Asthma,Multi-Omics Analysis of the Association of Polyunsaturated Fatty Acids with Asthma and Allergy in Childhood,K08,BRIGHAM AND WOMEN'S HOSPITAL,2020
Asthma,Asthma ascertainment and characterization through electronic health records,R01,MAYO CLINIC ROCHESTER,2017
Asthma,AUTOMATED SYSTEM FOR TELEPHONE HOME MANAGEMENT OF ASTHMA,R43,BETTER CONTROL MEDICAL COMPUTERS (BCMC),1997
Asthma,Clustering to identify novel phenotypes in childhood asthma,F30,UNIVERSITY OF WISCONSIN-MADISON,2013
Autism spectrum disorder,Neurobehavioral Investigation of Tactile Features in Autism Spectrum Disorders,K01,VANDERBILT UNIVERSITY,2014
Autism spectrum disorder,Genetic Architecture of Autisms without Intellectual Disability,R21,UNIVERSITY OF PENNSYLVANIA,2020
Autism spectrum disorder,Subnetwork-based Quantitative Imaging Biomarkers for Therapy Assessment in Autism,R01,YALE UNIVERSITY,2019
Autism spectrum disorder,Prediction and Early Language Development in Young Children with ASD,R01,UNIVERSITY OF WISCONSIN-MADISON,2019
Autism spectrum disorder,Investigating quantitative signatures of autism in toddlers,R01,COLUMBIA UNIVERSITY TEACHERS COLLEGE,2020
Big data,Big Data Coursework for Computational Medicine,R25,WEILL MEDICAL COLL OF CORNELL UNIV,2016
