Application Category,Application,No. of R01 (% in application),No. of U01 (% in application),No. of R44 (% in application),No. of R21 (% in application),Total number of awards
Biochemical analysis,Cell signaling pathways,74 (63%),11 (9%),3 (3%),11 (9%),117
Biochemical analysis,Drug discovery,67 (43%),0 (0%),8 (5%),13 (8%),156
Biochemical analysis,Mass spectroscopy,104 (72%),3 (2%),3 (2%),8 (6%),145
Biochemical analysis,Other chemical compound characterization,65 (41%),10 (6%),14 (9%),12 (8%),159
Biochemical analysis,Protein structure and binding prediction,69 (53%),10 (8%),7 (5%),6 (5%),130
Biochemical analysis,Small molecule interactions,41 (51%),2 (2%),3 (4%),4 (5%),81
Cancer,Breast cancer,132 (44%),26 (9%),8 (3%),25 (8%),297
Cancer,Other cancer,156 (42%),48 (13%),9 (2%),24 (6%),375
Cancer,Prostate cancer,61 (48%),10 (8%),2 (2%),22 (17%),127
Cardiovascular,Cardiovascular disease,99 (53%),1 (1%),6 (3%),11 (6%),186
Data types,Big data,35 (26%),5 (4%),5 (4%),4 (3%),135
Data types,Motion tracking and artifact reduction,76 (51%),2 (1%),10 (7%),14 (9%),150
Data types,Text mining,131 (60%),9 (4%),7 (3%),9 (4%),220
Data types,Wearable devices and mobile technology,93 (48%),14 (7%),8 (4%),23 (12%),193
Electronic health record,Electronic health record,139 (47%),28 (9%),2 (1%),22 (7%),296
Endocrine,Diabetes,47 (41%),13 (11%),2 (2%),10 (9%),114
Endocrine,Metabolic syndrome and metabolic processes,63 (64%),8 (8%),2 (2%),3 (3%),99
Environmental health,Environmental health,105 (52%),4 (2%),1 (0%),19 (9%),203
Genetics,Clinically significant genetic variation,127 (54%),37 (16%),1 (0%),4 (2%),236
Genetics,Familial genetics,61 (47%),28 (22%),3 (2%),0 (0%),129
Genetics,Functional mutations,89 (55%),16 (10%),3 (2%),9 (6%),162
Genetics,Gene mapping,101 (61%),6 (4%),2 (1%),8 (5%),166
Genetics,Molecular genetics,120 (49%),12 (5%),16 (7%),15 (6%),246
Genetics,Mouse modeling,85 (51%),10 (6%),5 (3%),19 (11%),167
Genetics,Population genetics,89 (68%),9 (7%),5 (4%),6 (5%),130
Genetics,Regulatory genetics,184 (66%),20 (7%),4 (1%),4 (1%),280
Genetics,RNA analysis,57 (49%),0 (0%),6 (5%),9 (8%),116
Hepatic,Liver disease,65 (53%),24 (20%),0 (0%),9 (7%),123
Infectious disease/Immunologic,HIV,102 (42%),13 (5%),4 (2%),27 (11%),243
Infectious disease/Immunologic,Immunology,67 (39%),12 (7%),4 (2%),13 (8%),170
Infectious disease/Immunologic,Other infectious disease,83 (34%),20 (8%),2 (1%),35 (14%),242
Injuries/trauma,Trauma,75 (47%),8 (5%),3 (2%),25 (16%),159
Knowledge frameworks,Centers for translational and computational research,17 (12%),13 (9%),1 (1%),2 (1%),144
