Cluster,Size,Total,Citations,Avg. APT,95%CI L,95%CI U,Papers,Citations per million dollars of funding per year,95%CI L,95%CI U,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Topic,Category,Topic-focused/Method-focused,Centroids,%R01,%U01,%R44,%U24,%R21,%U54,,,,,,,,
12,117,36077544,5.951016694,0.3702,0.342459442,0.397940558,500,0.164950715,4.127340289,7.774693098,527926.7135,7456562,0.166272729,0.125041859,0.207503598,0.150960058,Cell signaling pathways,Biochemical analysis,Method,"['binding', 'site', 'receptor', 'molecule', 'specificity', 'dna', 'regulatory', 'simulation', 'chemical', 'signaling', 'recognition', 'datasets', 'domain', 'interface', 'improvement']",63%,9%,3%,0%,9%,0,74,11,3,11,74 (63%),11 (9%),3 (3%),11 (9%)
65,156,84737388,5.271091247,0.408033827,0.378164964,0.437902689,473,0.062205024,4.525617202,6.016565291,2044708.528,12002446,0.109203341,0.076680686,0.141725997,0.067837119,Drug discovery,Biochemical analysis,Method,"['compound', 'agent', 'product', 'molecule', 'chemical', 'assay', 'screening', 'active', 'vivo', 'spectrum', 'small', 'infection', 'candidate', 'required', 'increasing']",43%,0%,5%,0%,8%,0,67,0,8,13,67 (43%),0 (0%),8 (5%),13 (8%)
29,145,46167945,6.682527117,0.409363636,0.381750343,0.43697693,550,0.144743872,5.19158093,8.173473303,1260671.113,6515878,0.074185072,0.050960741,0.097409403,0.162210401,Mass spectroscopy,Biochemical analysis,Method,"['mass', 'spectrum', 'characterization', 'sensitivity', 'chemical', 'classification', 'assay', 'molecule', 'lesion', 'breast', 'compare', 'marker', 'screening', 'capability', 'aid']",72%,2%,2%,0%,6%,0,104,3,3,8,104 (72%),3 (2%),3 (2%),8 (6%)
7,159,68832086,5.410311454,0.376033691,0.351711919,0.400355463,653,0.078601591,4.419780315,6.400842593,648158.4439,13780907,0.199087575,0.154275898,0.243899253,0.078337073,Other chemical compound characterization,Biochemical analysis,Method,"['chemical', 'assay', 'environmental', 'molecule', 'capability', 'animal', 'compound', 'substance', 'variety', 'signaling', 'small', 'cellular', 'mass', 'property', 'specie']",41%,6%,9%,6%,8%,0,65,10,14,12,65 (41%),10 (6%),14 (9%),12 (8%)
64,130,94382477,6.332275323,0.413411458,0.394572295,0.432250622,1152,0.067091642,5.22437798,7.440172665,2839641.596,7499146,0.052282806,0.022005971,0.08255964,0.060938141,Protein structure and binding prediction,Biochemical analysis,Method,"['site', 'annotation', 'binding', 'specie', 'regulatory', 'element', 'location', 'capability', 'core', 'regulation', 'dna', 'access', 'basic', 'spectrum', 'global']",53%,8%,5%,7%,5%,0.023076923,69,10,7,6,69 (53%),10 (8%),7 (5%),6 (5%)
62,81,34541459,5.866874406,0.345786517,0.312428444,0.379144589,356,0.16985022,3.831899821,7.901848992,52006.84964,9645255,0.343131448,0.234562323,0.451700572,0.111168358,Small molecule interactions,Biochemical analysis,Method,"['molecule', 'small', 'chemical', 'genetics', 'binding', 'immune', 'receptor', 'device', 'cellular', 'property', 'resolution', 'screening', 'candidate', 'produce', 'systematic']",51%,2%,4%,0%,5%,0,41,2,3,4,41 (51%),2 (2%),3 (4%),4 (5%)
15,297,97856805,5.69566358,0.409431525,0.390519715,0.428343335,1161,0.058204062,4.938589286,6.452737875,1937927.396,17828277,0.12252311,0.095848683,0.149197537,0.243808496,Breast cancer,Cancer,Topic,"['breast', 'breast cancer', 'woman', 'tumor', 'biopsy', 'screening', 'lesion', 'receptor', 'decision support', 'early detection', 'stage', 'sensitivity', 'mass', 'positive', 'biomarker']",44%,9%,3%,3%,8%,0,132,26,8,25,132 (44%),26 (9%),8 (3%),25 (8%)
2,375,165458242,6.000416812,0.42254386,0.403152528,0.441935192,1140,0.036265445,5.275223964,6.72560966,2408384.915,28801886,0.171444317,0.15446881,0.188419824,0.140674192,Other cancer,Cancer,Topic,"['tumor', 'progression', 'survival', 'normal', 'targeted', 'immune', 'vivo', 'mri', 'mutation', 'resistance', 'marker', 'heterogeneity', 'parameter', 'data analysis', 'signature']",42%,13%,2%,7%,6%,0.034666667,156,48,9,24,156 (42%),48 (13%),9 (2%),24 (6%)
56,127,44080695,5.718320731,0.417783985,0.390771554,0.444796416,537,0.129723924,4.818729615,6.617911846,1061693.794,7553916,0.105053892,0.064639114,0.145468669,0.241954466,Prostate cancer,Cancer,Topic,"['prostate', 'biopsy', 'tumor', 'mri', 'marker', 'progression', 'clinically', 'radiation', 'vivo', 'planning', 'breast', 'modality', 'screening', 'negative', 'active']",48%,8%,2%,0%,17%,0,61,10,2,22,61 (48%),10 (8%),2 (2%),22 (17%)
34,186,85488684,7.189202833,0.420475561,0.396974183,0.44397694,757,0.084095374,5.021190322,9.357215344,484268.3365,33281696,0.255733673,0.209686462,0.301780884,0.047934495,Cardiovascular disease,Cardiovascular,Topic,"['heart', 'stress', 'failure', 'cardiovascular', 'cardiac', 'physician', 'parameter', 'death', 'mortality', 'symptom', 'blood', 'candidate', 'clinically', 'hospital', 'ct']",53%,1%,3%,0%,6%,0,99,1,6,11,99 (53%),1 (1%),6 (3%),11 (6%)
