Num_Clusters,Silhouette,SSE,,,,Num_Clusters,SSE,Silhouette,
5,0.014425437,15555.37459,,,,5,15511.36296,0.015885599,0.035884503
5,0.016021242,15525.02508,,,,10,14988.90947,0.027664209,0.002776314
5,0.015518221,15505.41553,,,,15,14548.25234,0.036482144,0.001847695
5,0.016872878,15493.47305,,,,20,14210.79643,0.043627102,0.003013331
5,0.016590217,15477.52657,,,,25,13938.1876,0.050059212,0.000780609
10,0.023256639,15101.2245,,,,30,13650.13918,0.05579971,0.001429527
10,0.029026414,14950.94545,,,,35,13582.25842,0.049548715,0.026175113
10,0.031909564,14903.92222,,,,40,13154.46547,0.067283657,0.002124207
10,0.027293209,14987.55637,,,,45,12929.02121,0.071738188,0.001170247
10,0.026835219,15000.89883,,,,50,12735.48443,0.076430152,0.000724501
15,0.034695222,14591.59922,,,,55,12527.69412,0.081005653,0.0016033
15,0.034878471,14592.36008,,,,60,12359.37087,0.084715859,0.001055399
15,0.039304777,14480.0681,,,,65,12232.09847,0.086936487,0.001563764
15,0.038159136,14516.13503,,,,70,12779.5818,0.042604633,0.05918048
15,0.035373112,14561.09926,,,,75,11907.77482,0.092910605,0.001306073
20,0.04618336,14148.21768,,,,80,11719.64329,0.097818334,0.000716514
20,0.043248624,14220.06292,,,,85,12835.34147,0.02531659,0.059620815
20,0.043394215,14209.72519,,,,90,11929.6952,0.073985658,0.055474099
20,0.03825856,14340.69176,,,,95,11815.95543,0.075762133,0.057305084
20,0.047050752,14135.2846,,,,100,11692.15342,0.078063104,0.054868661
25,0.048964838,14001.603,,,,105,11142.46703,0.107168663,0.001785097
25,0.049565823,13912.75171,,,,110,11478.92375,0.082576243,0.053877391
25,0.050438616,13941.88676,,,,115,11450.61922,0.078350527,0.06068577
25,0.051318141,13906.1477,,,,,,,
25,0.05000864,13928.54883,,,,,,,
30,0.055148067,13664.32083,,,,,,,
30,0.055577182,13622.748,,,,,,,
30,0.056191206,13656.27594,,,,,,,
30,0.053816692,13704.05775,,,,,,,
30,0.058265405,13603.29339,,,,,,,
35,0.063948532,13356.01218,,,,,,,
35,0.063020581,13405.81304,,,,,,,
35,0.065032986,13333.28574,,,,,,,
35,0.059482337,13449.74224,,,,,,,
35,-0.003740861,14366.43892,,,,,,,
40,0.065818461,13185.20852,,,,,,,
40,0.071466169,13077.20585,,,,,,,
40,0.066137685,13183.93507,,,,,,,
40,0.0656904,13160.44207,,,,,,,
40,0.067305569,13165.53583,,,,,,,
45,0.069944439,12962.47059,,,,,,,
45,0.07171433,12969.73588,,,,,,,
45,0.073194886,12875.4602,,,,,,,
45,0.070989991,12944.61806,,,,,,,
45,0.072847296,12892.82132,,,,,,,
50,0.07631534,12749.81945,,,,,,,
50,0.077810194,12663.36909,,,,,,,
50,0.075575753,12759.30648,,,,,,,
50,0.076243951,12779.24358,,,,,,,
50,0.076205522,12725.68352,,,,,,,
55,0.080478791,12543.71235,,,,,,,
55,0.083413266,12514.2999,,,,,,,
55,0.078555599,12574.69119,,,,,,,
55,0.080533896,12530.91285,,,,,,,
55,0.082046712,12474.85431,,,,,,,
60,0.084085998,12381.66007,,,,,,,
60,0.086479594,12308.69826,,,,,,,
60,0.085442611,12351.74191,,,,,,,
60,0.083657936,12374.03772,,,,,,,
60,0.083913156,12380.7164,,,,,,,
65,0.089855894,12191.75718,,,,,,,
65,0.087006534,12255.34348,,,,,,,
65,0.085781534,12228.19401,,,,,,,
65,0.086789605,12214.9784,,,,,,,
65,0.085248867,12270.21926,,,,,,,
70,0.090685328,12039.75048,,,,,,,
70,-0.039878358,13912.35799,,,,,,,
70,0.093234756,12025.67958,,,,,,,
70,0.091165641,12025.20995,,,,,,,
70,-0.022184199,13894.91102,,,,,,,
75,0.092694327,11943.95326,,,,,,,
75,0.093762519,11883.92971,,,,,,,
75,0.090894973,11941.19802,,,,,,,
75,0.09235689,11908.77457,,,,,,,
75,0.094844316,11861.01853,,,,,,,
80,0.097266565,11723.48723,,,,,,,
80,0.097558629,11720.75597,,,,,,,
80,0.097078723,11724.09351,,,,,,,
80,0.09911878,11695.37374,,,,,,,
80,0.098068975,11734.506,,,,,,,
85,-0.030476031,13658.8119,,,,,,,
85,0.09946749,11597.91939,,,,,,,
85,-0.014228253,13739.75685,,,,,,,
85,0.099578252,11617.20978,,,,,,,
85,-0.027758506,13563.00945,,,,,,,
90,-0.039197122,13711.36846,,,,,,,
90,0.103067551,11483.12013,,,,,,,
90,0.10146156,11517.44535,,,,,,,
90,0.104259518,11422.35565,,,,,,,
90,0.100336783,11514.18639,,,,,,,
95,0.10543262,11367.89137,,,,,,,
95,0.108039417,11258.46704,,,,,,,
95,-0.04106181,13658.99555,,,,,,,
95,0.099935522,11446.89979,,,,,,,
95,0.106464918,11347.52342,,,,,,,
100,0.104470178,11313.13044,,,,,,,
100,0.106479752,11263.94564,,,,,,,
100,-0.033903389,13395.07581,,,,,,,
100,0.10687324,11232.41586,,,,,,,
100,0.106395738,11256.19933,,,,,,,
105,0.107931681,11139.8551,,,,,,,
105,0.107019308,11168.43549,,,,,,,
105,0.110088217,11094.43893,,,,,,,
105,0.106183176,11117.89479,,,,,,,
105,0.104620932,11191.71085,,,,,,,
110,-0.027355896,13310.84098,,,,,,,
110,0.108795929,11026.05852,,,,,,,
110,0.110491616,11044.54364,,,,,,,
110,0.10899203,10999.64154,,,,,,,
110,0.111957538,11013.53407,,,,,,,
115,0.108489891,10978.47624,,,,,,,
115,0.111349571,10944.38657,,,,,,,
115,0.110942278,10915.41706,,,,,,,
115,0.106419958,10948.65064,,,,,,,
115,-0.045449061,13466.1656,,,,,,,
