title,text,label
Real-time Multimodal Diffuse Reflectance and Polarization Imaging Based Nerve Identification in Surgical Field of View,"Real-time Multimodal Diffuse Reflectance and Polarization Imaging Based Nerve Identification in Surgical Field of View PROJECT SUMMARY We propose to develop a novel non-contact, label-free multimodality imager that provides real-time intraoperative identification of nerves within the surgical field-of-view to facilitate the prevention of unintended nerve damage (termed iatrogenic nerve injury) during surgical procedures, as they are a major source of postsurgical complications, e.g., chronic pain. In the United States chronic pain management is a major putative contributing factor in the current opioid-related drug overdose epidemic. Annually, over 45 million surgical procedures are performed in the United States and an estimated 10% to 50% of them result in patient chronic postoperative pain outcomes. Though not all the at least 4.5 million are definitively ascribable to iatrogenic nerve injury, it nonetheless represents a significant recurring annual healthcare problem. Relatedly, analysis of large-scale nerve lesion treatment studies reveals that 25%, 60% and 94% respectively of sciatic, femoral and accessory nerve lesions addressed are caused by iatrogenic nerve injury. Additionally, iatrogenic nerve injury features prominently in post-surgical quality of life issues that range from loss of sensation and motor function, to the aforementioned chronic pain, and morbidity. Reportedly, 2-3 years post radical prostatectomy ~60% of men are still impotent as a result of damaged cavernous nerves. Likewise, 20% - 60% of mastectomy breast cancer treatment survivors suffer chronic post-surgical pain that significantly reduces their quality of life, and injury to the intercostobrachial nerve is the primary cause. Even in surgeries with minimal neural damage risk like acoustic neuroma removal (<1%), spinal scoliosis surgery (<0.6%), and thyroidectomy (<2-3.8%) the consequences of nerve damage can be severe: leading to deafness, paraplegia, and even death respectively. The associated financial implications of iatrogenic nerve damage are significant. There are direct financial costs to the individual due to loss of employment and/or income, and to the healthcare industry as nerve damage is a common source of litigation with compensation being awarded in 82% of cases of spinal accessory nerve injury, for an example. The exposure of healthcare personnel and providers to medicolegal liability is extensive as Iatrogenic nerve injuries are commonly reported on the laryngeal nerve during thyroid operations, trigeminal nerve and inferior alveolar nerve during facial and oral surgeries, intercostal nerves during thoracic surgeries, and on the spinal accessory nerves, common peroneal nerve, superficial radial nerve, and genitofemoral nerve branches during various other surgeries. Consequently, as of 2015, medicolegal litigation risk was a primary driver for a $2.2 billion global market for intraoperative nerve monitoring projected to grow annually at 4.79% until 2025. Our proposed solution targets filling both the deficiencies of currently available options and the growing demand by introducing an effective, commercially viable product. PROJECT NARRATIVE Unintended nerve damage during surgical procedures is a significant and costly public healthcare delivery problem and current methods for injury prevention via intraoperative nerve monitoring leave substantial room for improvement. The ramifications of increased healthcare costs due to associated medical-liability issues and the significant reductions in quality of life issues, including the burgeoning chronic pain management related opioid-related drug overdose epidemic, make addressing this very impactful to society. The proposed development will yield an effective, commercially viable, non-contact multimodality imager that provides real- time intraoperative identification of nerves within the surgical field-of-view to facilitate the prevention of unintended nerve damage during surgical procedures.",
Gene expression and regulation in C. elegans with single cell resolution,"Gene expression and regulation in C. elegans with single cell resolution Abstract The nematode C. elegans is unique among model organisms in having a defined lineage and known connections for all its 302 neurons. The genome sequence was completed more than 20 years ago, but knowing which genes in the genome are used in exactly which cells and what transcription factors are controlling that expression remains a major challenge. We have successfully applied single cell- (sc-)RNA-seq methods to one larval stage and three embryonic stages to measure the RNA content of individual cells across the whole animal. We also have preliminary data that indicates that we can assay chromatin accessibility at the single cell level using the assay for transposase accessible chromatin (ATAC-seq). We now propose to collect both sc-RNA-seq and ATAC-seq data at multiple stages to determine the gene expression patterns of each cell in the worm and the active regulatory sequence throughout the entire life cycle of C. elegans. In turn we will use the combined data sets along with chromatin- immunoprecipitation- (ChIP-) seq data to impute what transcription factors are controlling expression of each gene in the genome in every cell and what regulatory sequences these transcription factors recognize. The results will provide a valuable resource to scientists studying the worm and addresses a major outstanding question in the molecular biology of development. In addition, these data sets, from an animal with a “ground truth” should serve as a platform for methods development in the single cell field. Narrative The nematode C. elegans is a simple animal that as an adult has just 959 somatic cells that arise from a known and constant lineage. We propose to use single cell methods to measure in every cell the expression of each gene and the active regulatory regions throughout the life cycle. Using these data and others, we will impute how these regulatory regions and the transcription factors that bind to them control gene expression in each cell.",
Motor cortex network dynamics driving stroke recovery,"Motor cortex network dynamics driving stroke recovery PROJECT SUMMARY Ischemic stroke is the most common cause of disability in US, with motor impairment being the most common form of disability. Rehabilitation therapies remain a mainstay treatment during recovery, but are not very effective for those with moderate to severe upper extremity weakness. Physical and pharmacologic interventions could become more effective if recovery mechanisms were better understood. The studies proposed here will use cutting-edge techniques to dissect the mechanisms of post-stroke recovery at the level of cortical neuronal networks. The principal investigator (PI) is a board-certified neurologist, and has extensive training in neuroscience, stroke neurobiology, and clinical management of patients with neurological diseases. The long- term goal is to understand relationships between the cortical neural network and the motor behaviors with a focus on motor recovery. The proposed research and career development plans will provide the necessary training, mentorship and experience to launch the PI’s career as a successful, R01-funded clinician-scientist. The PI has recently developed deep learning (a branch of machine learning) tools for automated and unbiased analysis of animal behavioral imaging data. Preliminary data demonstrate that, by using these automated tools, 3D kinematics of paw movements can be obtained during a food pellet reaching task in a head-fixed mouse, distinct neural activity patterns emerge in the primary motor cortex (M1) during motor learning of the skilled reaching, and stroke induces changes in the kinematics of the reaching behavior. In the proposed studies, the following specific hypotheses will be tested: stable neuronal network activity patterns emerge in M1 during motor learning (Aim-1); these M1 activity patterns destabilize after a stroke and sensorimotor disconnection (Aim-2); and new M1 activity patterns emerge after post-stroke task-specific rehabilitation (Aim-3). The PI will use, and be further trained on state-of-the-art techniques to record neural population activity (two-photon calcium imaging), to label and silence projection neurons (retro-AAVs and designer-receptors exclusively activated by designer drugs), and to analyze the kinematics of the behavior (deep learning tools). For this purpose, he has assembled a strong mentorship team with experts in their respective fields: Primary mentor Dr. Peyman Golshani (two-photon calcium imaging and analysis in behaving animals), as well as co-mentors, Dr. S. Thomas Carmichael (stroke recovery research), Dr. Jonathan Kao (neural dynamics analysis in motor cortex), and clinically, Dr. Bruce Dobkin (translational neurorehabilitation). The mentored research will be complemented with course work on state-space methods, biostatistics, bioethics, deep learning, responsible conduct of research, and grant writing; as well as improvement of professional skills by publishing manuscripts, presenting at meetings, and participating in workshops on leadership and management. By the end of K08 award, it is expected that the PI will obtain R01 funding as a clinician-scientist and independent investigator, focused on understanding mechanisms of the neural networks that can be modulated to improve motor behavior after stroke. PROJECT NARRATIVE Understanding the mechanisms of motor recovery will ultimately lead to better therapies for stroke recovery. In the proposed research, we aim to elucidate the motor recovery process by investigating the precise activity patterns of brain cells during skilled reaching movements that will be kinematically analyzed by novel automated tools. These brain-behavior correlations will generate fundamental knowledge about stroke recovery to inform new interventions that can reduce the burden of disability caused by stroke.",
Developing a Data-Driven Management System Using Machine Learning and Mixed-Methods Research to Predict Job Turnover Among MentalHealth Professionals,"Developing a Data-Driven Management System Using Machine Learning and Mixed-Methods Research to Predict Job Turnover Among MentalHealth Professionals Project Summary/Abstract The main goal of this study is to build a data-driven, evidence-based organizational management system that can inform effective recruitment and retention strategies to prevent excessive turnover. High turnover rates (estimated 25-60% annually) are devastating for mental health care systems, affecting organizations (e.g., cost), employees (e.g., work well-being), and most critically, the quality of care. Human resource departments collect extensive employee data that can be useful predictors for turnover, but these data are not often analyzed to address turnover issues in mental health organizations. Computational methods have greatly evolved and can now access and analyze large and complex data. This pilot study will achieve three specific aims: Aim 1: build and test turnover prediction models by developing and applying machine learning algorithms to existing human resource data; Aim 2: generate critical questions to enhance turnover prediction through qualitative methods; and Aim 3: test the enhanced model in predicting turnover at 12 months. In Aim 1, using past human resource data and service encounters from [two mental health organizations (rural and urban locations)], we will develop machine learning algorithms to predict turnover. The algorithms will address turnover questions simultaneously (e.g., Who are the most likely to leave? What factors predict turnover at varying time points in employment?). In Aim 2, we will interview key informants: “leavers” (employees who voluntarily terminate employment during the study); “stayers” (employees with extreme longevity in the organization); and “predictees” (identified as likely to leave, based on our algorithms). The findings will be discussed in two focus groups in order to generate, refine, and validate 5-10 critical questions to enhance prediction of turnover. In Aim 3, we will conduct an on-line survey of all current employees to assess the 5-10 critical questions and link survey data with data from human resources and services to examine the improved precision between the theory-based model (predictors in the survey) and the data-driven model (machine learning algorithms) in predicting actual turnover 12 months later. Machine learning can model complex and dynamic variable relationships (e.g., handling a large number of variables, accounting for heterogeneity) and overcome limitations in traditional turnover research that often relies on small, cross-sectional, and convenience samples. Successful completion of this study will promote data-driven, evidence-based organizational management practices to address turnover, which is aligned with NIMH priorities of capitalizing on existing data structures and using technologies to improve mental health service quality. This study will be a critical step in developing highly adaptable machine learning algorithms to predict turnover; ultimately, we envision that this system will be partnered with future clinical interventions to reduce turnover in mental health. Project Narrative This pilot study will build a data-driven, evidence-based organizational management system to inform effective recruitment and retention strategies for preventing excessive employee turnover in mental health organizations. Successful retention of a quality workforce not only helps mental health organizations and their employees, but also directly impacts the quality of care that clients receive. In addition, a data-driven, evidence-based organizational management system could be partnered with clinical interventions to reduce turnover.",
AUTOMATION OF DNA SEQUENCE DATA ENTRY,"AUTOMATION OF DNA SEQUENCE DATA ENTRY DNA sequence determination has become a standard method for the characterization of newly isolated genes.  Recent advances in the technology for the determination of DNA sequences have allowed large amounts of data to accumulate rapidly.  However, methods for transferring that data into the computer, where it is to be analysed, are still far from ideal, in that they require considerable manual interention.  We propose to develop a highly automated system that will greatly increase the accuracy and the speed with which sequence data can be collected and analysed.  The method requires first producing a digital image of the sequencing radioautogram.  Algorithms will then be devised that are able to convert that ditigized data into a DNA sequence.  A key feature of the software for this interpretative step is that it will operate according to a set of heuristic procedures that are clearly defined and which can easily be modified and extended.  When these rules fail to provide an unambiguous interpretion then operator assistance will be requested to make a final decision.  An important consequence of the strategy is that the primary data upon which the DNA sequence depends will be available in machine-readable form.  Appropriate software will be developed to manage this primary data and to assist in the resolution of discrepancies that may arise during the course of a sequencing project.  The software tools that will be developed during the course of this project would have additional applications for the interpretation of all kinds of biological data that derive from gel electrophoretic techniques.  n/a",
Developing Smokers for Smoker (S4S): A Collective Intelligence tailoring system,"Developing Smokers for Smoker (S4S): A Collective Intelligence tailoring system DESCRIPTION (provided by applicant): Smoking is still the number one preventable cause of cancer death. New approaches are needed to engage smokers in the 21st century in smoking cessation. I propose to develop S4S (Smokers for Smoker), a next- generation patient-centered computer tailored health communication (CTHC) system. Unlike current rule- based CTHCs, S4S will replace rules with complex machine learning algorithms, and use the collective experiences of thousands of smokers engaged in a web-assisted tobacco intervention to enhance personally- relevant tailoring for new smokers entering the system. This NCI K07 will provide a mentored research experience, giving me the opportunity to acquire new competencies in cancer health communication for behavior change, research design and statistical methods underlying clinical trial implementation and evaluation. I will adapt collectiv intelligence algorithms that have been used outside healthcare by companies like Amazon and Google to enhance CTHC. Using knowledge from scientific experts, current CTHC collect baseline patient ""profiles"" and then use expert-written, rule-based systems to tailor messages to patient subsets. Such theory-based ""market segmentation has been effective in helping patients reach lifestyle goals. However, there is a natural limit in the ability of a rule-based system to truly personalize content, and adapt personalization over time. Current CTHC have reached this limit, and I propose to go beyond. My first aim is to develop the Web 2.0 ""S4S"" recommender system. My second aim is to evaluate S4S within the context of a NCI funded web-assisted tobacco intervention (Decide2Quit.org). In my efforts, I will guided by my primary mentor (Dr. Houston, MD MPH) and two other mentor teams: The Cancer Health Behavior and Communication Team (Stephenie Lemon, PhD and Kathleen Mazor, EdD), and the Clinical Trial Design and Analysis Team (Jeroan Allison, MD, MS and Arlene Ash, PhD). My comprehensive training also includes coursework, seminars, and conferences. PUBLIC HEALTH RELEVANCE: A high priority research area identified by the NIH is to understand the role of different media in increasing consumer demand for and use of effective, individually oriented tobacco cessation treatments for diverse populations. Specifically, a research focus is on understanding how to best tailor interventions. Although effective, there is a natural limit in the ability of current rle-based tailoring systems to truly personalize content, and adapt personalization over time. This NCI K07 will advance computer tailoring by adapting machine learning collective intelligence algorithms that have been used outside healthcare by companies like Amazon and Google to enhance the personal relevance of the health communication.",
"Models for synthesising molecular, clinical and epidemiological data, and transla","Models for synthesising molecular, clinical and epidemiological data, and transla DESCRIPTION (provided by applicant): A mathematical or computational model of infectious disease transmission represents the process of how an infection spreads from one person to another. Such models have a long history within infectious disease epidemiology, and are useful tools for giving insight into the dynamics of epidemics and for evaluating the potential effect of control methods. The overall objective of this project is to substantially improve the methods by which models of infectious diseases transmission are calibrated against biological and disease surveillance data. This will both improve the utility of models as tools for analyzing data on infectious disease outbreaks (for instance to provide more rapid and reliable estimates of how transmissible and lethal a new virus is to public health agencies) and also improve the reliability of models as tools for predicting the likely effect of different interventions (such as vaccines or case isolation) to help policy makers make more informed decisions about control policies. As with many areas of biology and medicine, the data landscape for infectious diseases modeling is changing rapidly. Larger and more complex datasets are becoming available that cover many different aspects of the interaction between a pathogen and the human population: clinical episode data, genetic data about fast-evolving pathogens; animal-model transmission data and community-based representative serological data. The specific aims of our project are to: (a) develop new machine-learning based methods to discover interesting patterns in complex datasets related to the transmission of infectious disease, so as to better specify subsequent mechanistic mathematical or computational models; (b) derive new approaches for using more than one type of data simultaneously to calibrate transmission models and (c) derive new methods of parameter estimation for simulations which model the spatial spread of infection or model both the transmission and genetic evolution of a pathogen. We will achieve these aims in the applied context of research on three key infections: emerging infectious diseases (such as MERS-CoV - the novel coronavirus currently spreading in the Middle East), influenza and Streptococcus pneumonia (a major bacterial pathogen). Examples of the scientific questions we will address that cannot be answered with current methods are: (i) how many unobserved cases of MERS-CoV have occurred so far (to be answered using data on case clusters data, the spatial distribution of cases and viral genetic sequences)? (ii) how many people in different age groups are infected with influenza each year and how does their immune system respond to infection (to be answered using data on case incidence and serological testing of the population)? (iii) how much is vaccination coupled with prescribing practices influencing the emergence of resistant strains of pneumococcus (to be addressed with data on antibiotic and vaccine use, case incidence and bacterial strain frequency)? PUBLIC HEALTH RELEVANCE: Mathematical and computational models of infectious disease spread can provide valuable information to aid policy-makers in the tough choices they face when trying to control infectious diseases, but models must be designed to make the best possible use of the often limited data available. As the digital footprints of our lives grow, so te datasets available for infectious disease models become larger and more complex. This project will develop new algorithms and methods to allow models to make better use of all available data and therefore better inform control policy planning for diseases such as: influenza, pneumococcal infection and novel viruses like MERS-CoV.",
ICP Elevation Alerting Based on a Predictive Model Hosting Platform,"ICP Elevation Alerting Based on a Predictive Model Hosting Platform DESCRIPTION (provided by applicant): Recurring acute ICP elevations occur frequently and unpredictably among severe brain injury patients. ICP elevation can cause cerebral ischemia and lead to deadly brain herniation if untreated. Hence, prompt recognition and treatment of rising ICP are critical in managing severe brain injury patients. However, existing protocols in most neurocritical care units are reactive where bedside nurses, in response to simple threshold-crossing alarms, have to check numerical display of ICP on monitors to manually establish whether the alarm is a true one before initiating treatment. Acute ICP elevation is accompanied by distinctive ICP pulse morphological changes. By utilizing ICP pulse morphological metrics as input, we can accurately recognize precursors to ICP elevation to alert nurses and free them from a cognitively demanding process of establishing whether a consistent ICP elevation triggers the alarm. We therefore propose to deploy a previously developed accurate ICP elevation prediction model on an open-source model hosting platform to monitor continuous ICP signals and alert bedside nurses. Using this alerting system, we will further investigate the principal physiological abnormalities associated with acute ICP elevation showing different precursory ICP patterns prior to onset of elevation. We will pursue the following three aims: 1) To develop an alerting system for ICP elevation based on a model hosting platform; 2) To investigate whether the ICP alerting system helps nurses more efficiently manage ICP. 3) To detect consistent physiological abnormalities associated with acute ICP elevation. Our long-term goal is to advance intensive care monitoring so that continuous signals from monitors are fully explored to integrate with the rest of clinical data in an electronic medical record (EMR) system to enhance clinical decision making. This project represents an effort piloting a platform-based approach towards overcoming translational barriers that impede the process of making advanced predictive analytics available at point of care. Therefore, broad impacts from this project are related to future efforts at leveraging this open model hosting platform to facilitate the translation of additional predictive models in other ICUs. Recurring acute intracranial pressure (ICP) elevation occurs frequently, up to more than 20 in a 12-hour nursing shift, and unpredictably among severe brain injury patients. These acute ICP elevations needs prompt treatment before they impair blood flow to the brain and cause deadly brain herniation. The present work is built upon our previously developed algorithm of detecting acute ICP elevation and an open software platform for hosting predictive algorithms to further develop and evaluate a real-time ICP elevation alerting system that will provide accurate alerts of impending ICP elevation. Rigorous human factor engineering principles and techniques will be adopted in developing this system and we will further leverage this real-time alerting system to investigate the principal physiological abnormalities that are associated with accurate ICP elevation.",
"Closing the loop: development of real-time, personalized brain stimulation","Closing the loop: development of real-time, personalized brain stimulation Project Summary  We are in critical need of targeted and individualized treatments for mental health disorders, which affect nearly 50% of Americans during our lifetimes. Brain stimulation treatments, including repetitive transcranial magnetic stimulation (rTMS), represent the front-line of innovative approaches to correct dysfunctional brain networks for patients suffering from mental illness. rTMS is FDA-approved for depression and obsessive- compulsive disorder (OCD) with clinical trials underway for post-traumatic stress disorder (PTSD) and substance use, among others. However, as currently administered, rTMS lacks a biomarker to individually optimize treatment and thus suffers from a poor clinical response rate (<50%). Without personalization of rTMS, we risk a one-size-fits-all treatment for all psychiatric disorders, not dissimilar to how antidepressants are administered.  Using simultaneous TMS and electroencephalography (TMS-EEG), I identified a depression severity biomarker from a double-blind randomized clinical trial treating depressed patients with one month of active or placebo rTMS. The degree of this biomarker change significantly predicted clinical improvement after rTMS treatment. Direct brain recordings further suggest that a single stimulation session is sufficient to modulate this biomarker, indicating that this brain-based biomarker can be monitored daily to support empiric treatment optimization.  With this in mind, I propose to develop the first broadly generalizable platform for real-time biomarker monitoring (Aim #1) and personalized rTMS treatment (Aims #2 & 3). I will enroll 54 depressed patients to participate in a cross-over, placebo-controlled study directly comparing personalized, adaptive rTMS to standard rTMS. Primary outcome will be target engagement and dose-response of the depression severity biomarker. Successful implementation of this work includes the early stratification of treatment responders and personalized and more effective treatments for non-responders. This approach is broadly applicable to other depression biomarkers, all psychiatric populations treated with rTMS, and other brain stimulation modalities. More generally, my goals are to establish the fundamental principles of human brain plasticity and to construct platforms for rapid biomarker development, engagement, and integration into personalized brain stimulation treatments. Project Narrative We need targeted, individualized treatments for mental health disorders, which affects nearly 50% of Americans. Brain stimulation treatments target dysfunctional brain networks with minimal side effects but are currently applied in a one-size-fits-all manner, thus limiting its efficacy. I aim to develop a non-invasive personalized brain stimulation platform for neuropsychiatric disorders; here I will create a real-time monitoring system for brain changes, evaluate the mechanism underlying these brain changes, and develop and test an adaptive stimulation paradigm to maximally drive individual brain changes and improve clinical outcome.",
KNOWLEDGE-BASED RECORDS FOR PATIENTS WITH HIV INFECTIONS,"KNOWLEDGE-BASED RECORDS FOR PATIENTS WITH HIV INFECTIONS Primary care physicians are burdened by the complexity of the care that must be delivered to patients with HIV infection, the time required for care and the difficulty of keeping abreast of a rapidly changing knowledge base that is the foundation for that care. We plan to use the computer to ease the burden of care by monitoring each patient's treatment, by suggesting alternative care plans when appropriate, and by providing an integrated information environment.  This knowledge-based medical record system for the care of patients with HIV-related illness (KBMR-HIV) will provide physician reminders, directed access to the biomedical literature, information on research protocols, information about community resources, and information about cost-effective strategies for the management of common problems. In addition, the system will collect data and information that will be of immediate use to those caring for the patients and will be of future use to those interested in aggregation of longitudinal data for the purpose of clinical, epidemiologic and policy related investigation.  Patient information from KBMR-HIV will be transferred into ClinQuery, a data management tool developed to facilitate rapid exploration of aggregate clinical data base. ClinQuery provides for confidential access to patient data while inviting exploration of this clinical data. This data base will contain information about patients who have been treated in a variety of care settings (home, ambulatory, and inpatients), by a variety of care providers (staff physician, intern, resident, and nurse practitioner), and by a variety of protocols.  We hypothesize that physicians who use KBMR-HIV will indicate they are more satisfied with the care they are giving to patients with HIV infection. We will administer a series of questionnaires to help assess their satisfaction and we will analyze clinicians' adherence to agreed upon standards of care to help assess their effectiveness. We will also evaluate the number of admissions, the interval between admissions, the total charges for hospital care, the total charges for all care (impatient and ambulatory), the number of ambulatory visits, the number of invasive procedures, the number of opportunistic infections, and other outcome measures among patients who are cared for by clinicians with access to KBMR-HIV, to assess the effect, if any, on the quality of care.  n/a",
