Description,Number of grants,Application category,Centroids,"Total Award, 2000-2020",Total citations,Silhouette score
 ,148, ,"['mental', 'mental health', 'illness', 'psychiatric', 'depression', 'neuroscience', 'symptom', 'social', 'variation', 'environmental', 'schizophrenia', 'neuroimaging', 'variable', 'influence', 'child']",79154534,7.661855641,0.126162183
 ,129, ,"['family', 'genomics', 'implementation', 'child', 'communication', 'susceptibility', 'environmental', 'syndrome', 'history', 'implement', 'prevention', 'domain', 'dna', 'service', 'long']",73961475,8.003942157,0.087510698
 ,375, ,"['tumor', 'progression', 'survival', 'normal', 'targeted', 'immune', 'vivo', 'mri', 'mutation', 'resistance', 'marker', 'heterogeneity', 'parameter', 'data analysis', 'signature']",165458242,6.000416812,0.140674192
 ,63, ,"['pediatric', 'child', 'digital', 'hospital', 'decision support', 'ehr', 'acute', 'mri', 'implementation', 'health care', 'electronic', 'chronic', 'clinical trial', 'national', 'conduct']",22415752,6.351791466,0.158020511
 ,271, ,"['child', 'age', 'developmental', 'impairment', 'acquisition', 'autism', 'young', 'pediatric', 'symptom', 'deficit', 'artificial', 'social', 'family', 'skill', 'mobile']",108380111,6.196750666,0.101108358
 ,76, ,"['scientist', 'learn', 'building', 'genomics', 'generated', 'bioinformatics', 'size', 'data set', 'engineering', 'career', 'step', 'rapidly', 'aspect', 'heterogeneity', 'inference']",17647037,5.207881294,0.036616594
 ,221, ,"['lesion', 'deep', 'deep learning', 'mri', 'progression', 'biopsy', 'interpretation', 'digital', 'neural network', 'classification', 'pathology', 'learning algorithm', 'learn', 'longitudinal', 'learning method']",72890312,5.90432961,0.04406588
 ,159, ,"['chemical', 'assay', 'environmental', 'molecule', 'capability', 'animal', 'compound', 'substance', 'variety', 'signaling', 'small', 'cellular', 'mass', 'property', 'specie']",68832086,5.410311454,0.078337073
 ,92, ,"['communication', 'interface', 'speech', 'impairment', 'device', 'motor', 'cortex', 'people', 'clinician', 'provider', 'access', 'severe', 'participant', 'increasing', 'clinical trial']",34799976,7.95406663,0.108413915
 ,243, ,"['hiv', 'infection', 'prevention', 'aid', 'resistance', 'woman', 'participant', 'social', 'substance', 'impairment', 'person', 'site', 'dna', 'people', 'efficacy']",115512623,7.91146784,0.239606005
 ,170, ,"['immune', 'host', 'infection', 'receptor', 'blood', 'signaling', 'adaptive', 'adverse', 'regulatory', 'signature', 'monitoring', 'assay', 'resistance', 'profile', 'event']",100119427,5.916824788,0.072121036
 ,192, ,"['asd', 'autism', 'child', 'connectivity', 'spectrum', 'social', 'developmental', 'infant', 'impairment', 'deficit', 'heterogeneity', 'core', 'mri', 'communication', 'longitudinal']",97331715,7.626646421,0.235964124
 ,117, ,"['binding', 'site', 'receptor', 'molecule', 'specificity', 'dna', 'regulatory', 'simulation', 'chemical', 'signaling', 'recognition', 'datasets', 'domain', 'interface', 'improvement']",36077544,5.951016694,0.150960058
 ,176, ,"['stroke', 'recovery', 'acute', 'blood', 'disability', 'motor', 'impairment', 'effectiveness', 'movement', 'deficit', 'mri', 'agent', 'lesion', 'flow', 'difference']",88644658,5.88261051,0.278586734
 ,166, ,"['mapping', 'trait', 'genetics', 'map', 'variant', 'marker', 'variation', 'powerful', 'sequencing', 'score', 'power', 'size', 'statistical method', 'physical', 'involved']",61918552,7.618239644,0.051761776
 ,297, ,"['breast', 'breast cancer', 'woman', 'tumor', 'biopsy', 'screening', 'lesion', 'receptor', 'decision support', 'early detection', 'stage', 'sensitivity', 'mass', 'positive', 'biomarker']",97856805,5.69566358,0.243808496
 ,321, ,"['ad', 'alzheimer', 'alzheimer disease', 'dementia', 'aging', 'progression', 'pathology', 'longitudinal', 'neuroimaging', 'clinical trial', 'stage', 'mri', 'biomarker', 'impairment', 'participant']",241056913,6.657185378,0.254755613
 ,218, ,"['alcohol', 'exposure', 'child', 'spectrum', 'consortium', 'deficit', 'adolescent', 'youth', 'core', 'feedback', 'period', 'month', 'substance', 'prevention', 'site']",86802222,6.833130958,0.19150817
 ,113, ,"['schizophrenia', 'deficit', 'illness', 'abnormality', 'symptom', 'fmri', 'temporal', 'psychiatric', 'paradigm', 'mental', 'dysfunction', 'neuroimaging', 'candidate', 'cortex', 'connectivity']",36596467,6.889244884,0.164205909
 ,220, ,"['text', 'literature', 'mining', 'natural language', 'language processing', 'access', 'search', 'report', 'content', 'annotation', 'ontology', 'extract', 'domain', 'concept', 'scientist']",80300898,7.609896852,0.076058088
 ,114, ,"['diabetes', 'chronic', 'physical activity', 'clinical trial', 'achieve', 'american', 'decision support', 'consortium', 'prevention', 'body', 'people', 'blood', 'physical', 'aid', 'risk factor']",52974185,7.134865288,0.166156199
 ,217, ,"['lung', 'ct', 'screening', 'death', 'survival', 'chronic', 'smoking', 'positive', 'injury', 'snp', 'susceptibility', 'biomarker', 'progression', 'marker', 'test hypothesis']",72014449,6.036191829,0.180134754
 ,242, ,"['infection', 'host', 'resistance', 'immune', 'hospital', 'assay', 'blood', 'candidate', 'rapid', 'people', 'death', 'specie', 'global', 'severe', 'healthcare']",102079866,6.812420208,0.088242998
 ,123, ,"['kidney', 'chronic', 'progression', 'injury', 'survival', 'biopsy', 'acute', 'syndrome', 'effectiveness', 'failure', 'mortality', 'cardiovascular', 'heterogeneity', 'national', 'award']",43663402,8.181816361,0.211028625
 ,203, ,"['exposure', 'environmental', 'chemical', 'risk factor', 'career', 'child', 'period', 'mouse', 'animal', 'prevention', 'dna', 'estimate', 'cardiovascular', 'developmental', 'social']",88913320,7.228519666,0.119627802
 ,171, ,"['older', 'older adult', 'aging', 'physical', 'person', 'chronic', 'health care', 'age', 'physical activity', 'social', 'provider', 'depression', 'cardiovascular', 'monitoring', 'clinician']",77836693,8.085194834,0.191207584
 ,280, ,"['regulatory', 'regulation', 'gene expression', 'element', 'cellular', 'dna', 'cell type', 'variant', 'binding', 'variation', 'normal', 'datasets', 'organization', 'assay', 'sequencing']",134538181,5.689317563,0.061661555
 ,361, ,"['neuron', 'circuit', 'neuronal', 'cortex', 'cortical', 'stimulus', 'cell type', 'animal', 'connectivity', 'motor', 'recording', 'property', 'neuroscience', 'mouse', 'cellular']",177492200,6.23023949,0.067362381
 ,470, ,"['device', 'phase ii', 'ii', 'monitoring', 'sensor', 'prototype', 'blood', 'monitor', 'product', 'digital', 'feasibility', 'detect', 'parameter', 'capability', 'generation']",167590145,6.392145346,-0.010085437
 ,145, ,"['mass', 'spectrum', 'characterization', 'sensitivity', 'chemical', 'classification', 'assay', 'molecule', 'lesion', 'breast', 'compare', 'marker', 'screening', 'capability', 'aid']",46167945,6.682527117,0.162210401
 ,122, ,"['representation', 'concept', 'cortex', 'world', 'theory', 'action', 'issue', 'basic', 'temporal', 'memory', 'planning', 'visual', 'fmri', 'neuroscience', 'domain']",37427050,6.800444351,0.07422558
 ,155, ,"['adolescent', 'substance', 'youth', 'mobile', 'symptom', 'child', 'alcohol', 'prevention', 'difference', 'consortium', 'developmental', 'career', 'family', 'social', 'skill']",63322086,7.398025996,0.099802509
 ,149, ,"['student', 'school', 'course', 'neuroscience', 'skill', 'scientist', 'laboratory', 'career', 'engineering', 'national', 'institute', 'grant', 'content', 'basic', 'artificial']",35235945,6.382887885,0.156170378
 ,164, ,"['infant', 'child', 'developmental', 'speech', 'acquisition', 'growth', 'learn', 'age', 'input', 'month', 'deficit', 'social', 'stress', 'mri', 'exposure']",53656918,7.069064892,0.164414721
 ,186, ,"['heart', 'stress', 'failure', 'cardiovascular', 'cardiac', 'physician', 'parameter', 'death', 'mortality', 'symptom', 'blood', 'candidate', 'clinically', 'hospital', 'ct']",85488684,7.189202833,0.047934495
 ,265, ,"['safety', 'surveillance', 'event', 'adverse', 'medication', 'electronic', 'mortality', 'natural language', 'language processing', 'hospital', 'report', 'monitoring', 'healthcare', 'health care', 'temporal']",93105852,8.158490401,0.034583674
