Cluster,Size,Total,Citations,APT % over 95%,Avg. APT,95%CI L,95%CI U,Papers,Citations per $1mil funding,Years of Availability,Citations per thousand dollars of funding per year,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Description,Category,Clinical/Technical,Centroids,%R01,%U01,%R44,%U24,%R21,%U54
0,166,48084069,7926.0,0.15492957746478872,0.43063380281690145,0.37665901613901565,0.48460858949478725,142,164.83629952365305,1167,0.00014124790019164787,748109.1240658099,13962603,0.15301335667947222,0.12270151847123739,0.18332519488770704,0.13180981360639418, , , ,"['visual', 'shape', 'cortex', 'stimulus', 'attention', 'representation', 'vision', 'infant', 'natural', 'property', 'cortical', 'spatial', 'world', 'recognition', 'movement']",0.7048192771084337,0.0,0.04216867469879518,0.012048192771084338,0.04819277108433735,0.0
1,2179,970671349,49143.0,0.08410138248847926,0.3362327188940092,0.3151375948708281,0.3573278429171903,868,50.62784643909377,7580,6.679135414128466e-06,4530291.913014478,298713889,0.2673341216265619,0.22804833145070724,0.30661991180241654,-0.020748539157546833, , , ,"['resolution', 'cellular', 'immune', 'compound', 'integration', 'spatial', 'mouse', 'receptor', 'data set', 'gene expression', 'simulation', 'assay', 'map', 'profile', 'flow']",0.4804956402019275,0.02294630564479119,0.05415328132170721,0.005507113354749885,0.0715924736117485,0.012849931161083065
2,362,163710344,4539.0,0.06870229007633588,0.31297709923664124,0.2590592572275507,0.3668949412457318,131,27.725798438246517,1099,2.522820604026071e-05,4325144.21960559,16323936,0.08987671183783448,0.06626934033308382,0.11348408334258514,0.04294739309120161, , , ,"['dna', 'epigenetic', 'snp', 'sequencing', 'gene expression', 'susceptibility', 'regulation', 'variation', 'element', 'regulatory', 'mapping', 'efficient', 'mouse', 'site', 'map']",0.5027624309392266,0.03591160220994475,0.03314917127071823,0.019337016574585635,0.07734806629834254,0.0
3,314,146975365,4860.0,0.088,0.38239999999999996,0.3237249626706927,0.44107503732930725,125,33.06676598489822,970,3.408944946896723e-05,1826052.666375408,29968870,0.18812345459769095,0.16934556789701766,0.20690134129836424,0.15284504144868163, , , ,"['tumor', 'immune', 'survival', 'progression', 'targeted', 'mri', 'vivo', 'radiation', 'data analysis', 'resistance', 'mutation', 'genomics', 'marker', 'parameter', 'heterogeneity']",0.4140127388535032,0.1305732484076433,0.03503184713375796,0.06369426751592357,0.044585987261146494,0.03821656050955414
4,228,106813387,3313.0,0.09090909090909091,0.3355371900826446,0.2781749743126294,0.3928994058526598,121,31.016711416519353,382,8.119557962439621e-05,2053802.8855280005,13212526,0.1489679034516929,0.10384332619988797,0.19409248070349783,0.11266244717862145, , , ,"['mutation', 'big', 'big data', 'candidate', 'genomics', 'variant', 'binding', 'resistance', 'datasets', 'integration', 'sequencing', 'collaboration', 'dna', 'scientist', 'annotation']",0.41228070175438597,0.05701754385964912,0.03070175438596491,0.0,0.043859649122807015,0.07017543859649122
5,227,114940999,18270.0,0.10869565217391304,0.3902173913043478,0.28810990921644913,0.49232487339224645,46,158.95111543270997,104,0.0015283761099299036,1850986.0151382363,16423786,0.16540294159617092,0.12815199012297956,0.20265389306936227,0.16916965251252736, , , ,"['alcohol', 'adolescent', 'substance', 'youth', 'consortium', 'exposure', 'child', 'spectrum', 'prevention', 'core', 'mobile', 'developmental', 'site', 'career', 'deficit']",0.2907488986784141,0.23348017621145375,0.004405286343612335,0.1277533039647577,0.06607929515418502,0.0
6,140,51864041,687.0,0.10588235294117647,0.3529411764705882,0.28142317699707087,0.42445917594410554,85,13.246171851514617,118,0.00011225569365690354,8376.659216528113,25901749,0.549607156471399,0.49263648923546316,0.6065778237073349,0.12211276436174967, , , ,"['surgical', 'surgery', 'procedure', 'skill', 'planning', 'hospital', 'accurately', 'monitoring', 'seizure', 'tumor', 'candidate', 'reconstruction', 'vivo', 'ehr', 'simulation']",0.5142857142857142,0.0,0.09285714285714286,0.0,0.11428571428571428,0.0
7,219,117630744,753.0,0.12121212121212122,0.46818181818181814,0.3580520181637905,0.5783116181998458,33,6.401387718843298,230,2.783212051670999e-05,556342.1317800805,37004281,0.2733940575415191,0.24213052445756725,0.30465759062547093,0.23158315501980856, , , ,"['hiv', 'infection', 'resistance', 'aid', 'prevention', 'substance', 'living', 'social', 'impairment', 'person', 'participant', 'dna', 'woman', 'immune', 'site']",0.4840182648401826,0.0502283105022831,0.0182648401826484,0.0,0.0821917808219178,0.0
8,181,77032742,2253.0,0.0759493670886076,0.34493670886075956,0.27557194392631945,0.41430147379519966,79,29.247303698471487,846,3.457128096746039e-05,278793.44580258604,25577549,0.3017874481046801,0.249115708749943,0.35445918745941724,0.07327069368210058, , , ,"['injury', 'acute', 'kidney', 'recovery', 'neurological', 'dysfunction', 'disability', 'monitoring', 'blood', 'progression', 'initial', 'physiological', 'adverse', 'translational', 'prevent']",0.43646408839779005,0.03867403314917127,0.03867403314917127,0.0,0.143646408839779,0.0
9,219,51912496,2763.0,0.07272727272727272,0.36363636363636365,0.2836432148208054,0.4436295124519219,55,53.22417939603597,475,0.00011205090399165467,1080098.8807860538,4886129,0.12230163820231416,0.10007342640288208,0.14452985000174623,0.21204204372659116, , , ,"['language', 'child', 'infant', 'acquisition', 'developmental', 'input', 'speech', 'impairment', 'theory', 'asd', 'natural', 'memory', 'deficit', 'learn', 'artificial']",0.5251141552511416,0.0,0.0502283105022831,0.0,0.045662100456621,0.0
